game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
2ae69508-068e-4f79-a0f0-074e1411547a,0,13,12,27,1,1,0,1,0,3,8,0,0.0,0,28,2,2.0,7.0,27.3,20.8,14.3
93d3eca5-4d23-4cac-b4df-478dbb5e02e5,1,17,22,31,0,0,0,1,0,6,10,0,0.0,0,42,2,7.0,9.0,49.8,39.3,28.8
b475e5e4-580e-4d9d-8e4f-caf486a0d26a,1,40,25,35,0,0,0,0,0,3,13,0,2.0,0,48,2,6.0,18.0,68.0,55.5,43.0
ef3b9907-3ed0-43f4-9b2b-75d69398f57b,4,30,16,27,0,2,0,7,0,1,9,0,2.0,0,33,2,6.0,22.0,38.3,30.8,23.3
dc105cfb-5e42-4b1a-b57f-7cd822fe4c13,0,6,22,28,2,0,1,3,2,1,6,0,1.0,0,36,2,1.0,6.0,64.8,53.8,42.8
e8b3ce79-bafd-4354-9181-2d7b9df89d23,0,7,19,29,1,0,1,5,1,1,1,0,0.0,0,40,2,2.0,3.0,47.900000000000006,38.400000000000006,28.900000000000002
68dd7644-8549-473a-aa23-f5587b1d90db,1,37,22,38,0,1,0,4,1,4,5,0,6.0,0,33,8,4.0,37.0,46.900000000000006,35.900000000000006,24.900000000000002
6569f839-673a-4aca-8447-fc7819d4ba68,0,58,17,34,1,1,2,8,0,5,6,0,4.0,0,33,6,8.0,38.0,47.0,38.5,30.0
b1024e2b-bd0b-4c16-8ac8-42616be1ce79,0,18,18,26,0,1,0,0,0,1,2,0,0.0,0,35,4,5.0,14.0,36.900000000000006,28.900000000000002,20.900000000000002
ef1efd80-b879-4c44-896b-96e913683fd7,0,19,33,44,0,1,0,1,2,4,7,0,0.0,0,51,2,3.0,5.0,104.2,87.7,71.2
c69aa504-fcd9-4dff-a261-a1e1bf4f4c9a,3,30,31,42,3,0,2,4,3,2,13,0,4.0,0,49,2,6.0,30.0,62.6,47.1,31.6
710037c3-9ffd-47e5-9e47-9ec56f87ea94,1,62,21,35,1,0,0,4,3,1,6,0,2.0,0,41,3,5.0,20.0,35.3,24.8,14.3
7d4cba90-ef28-4c39-875a-02ab9fe44ae5,2,30,25,38,1,0,1,5,1,4,8,0,2.0,0,37,1,3.0,16.0,52.8,40.3,27.8
3038430d-fa45-4405-b964-7c69bf5206fc,0,30,25,30,0,0,0,1,0,1,3,0,1.0,0,39,1,2.0,10.0,62.8,51.3,39.8
046cfa38-25a3-4cd0-aab2-5d3808194cfb,2,34,24,36,1,0,0,4,1,1,15,0,1.0,0,50,2,6.0,20.0,60.1,48.1,36.1
6cbe90f9-4b86-4635-927b-b04f4074d7ec,0,42,25,34,2,1,1,0,2,2,2,0,4.0,0,35,3,5.0,23.0,61.7,49.7,37.7
278b091e-61fb-4bb1-a445-4e267a3ecc3c,1,71,21,36,2,1,2,8,2,3,3,0,5.0,0,45,2,5.0,36.0,46.3,36.3,26.3
cda05cf4-8fab-4e66-b124-4f85fa23e618,0,7,19,23,1,0,1,4,1,1,4,0,1.0,0,39,1,4.0,14.0,51.8,42.3,32.8
399456d8-c8b5-4652-afb5-71c4c03b95f6,1,13,23,29,0,0,0,3,0,2,8,0,5.0,0,52,0,10.0,29.0,45.6,34.1,22.6
1d08d17e-284a-41b9-b48d-78a4b8824bd8,0,0,0,0,1,2,2,0,0,0,0,0,8.0,0,33,2,5.0,22.0,52.6,42.1,31.6
