game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
2ae69508-068e-4f79-a0f0-074e1411547a,29,6.471,1,3,3,5,24,0,1,17,29,0,110,81,16,28.0,11.0,19.5
93d3eca5-4d23-4cac-b4df-478dbb5e02e5,218,12.346,1,1,1,15,58,11,8,26,35,2,321,103,9,70.1,44.1,57.1
b475e5e4-580e-4d9d-8e4f-caf486a0d26a,78,6.227,0,2,2,6,18,0,0,22,32,0,137,59,14,35.7,13.700000000000001,24.700000000000003
ef3b9907-3ed0-43f4-9b2b-75d69398f57b,73,7.519,3,0,0,9,22,0,1,27,32,0,203,130,33,47.3,20.3,33.8
dc105cfb-5e42-4b1a-b57f-7cd822fe4c13,101,8.913,0,1,1,10,21,0,0,23,30,0,205,104,33,43.5,20.5,32.0
e8b3ce79-bafd-4354-9181-2d7b9df89d23,128,8.333,0,0,0,11,31,0,3,24,31,0,200,72,11,44.0,20.0,32.0
68dd7644-8549-473a-aa23-f5587b1d90db,165,15.5,1,0,0,10,42,32,1,18,27,2,279,114,9,57.900000000000006,39.900000000000006,48.900000000000006
6569f839-673a-4aca-8447-fc7819d4ba68,-10,1.167,1,1,1,0,4,0,1,6,12,0,7,17,2,6.7,0.7000000000000001,3.7
b1024e2b-bd0b-4c16-8ac8-42616be1ce79,80,10.526,1,1,1,10,34,9,1,19,29,1,200,120,35,45.0,26.0,35.5
ef1efd80-b879-4c44-896b-96e913683fd7,24,6.143,2,0,0,5,26,10,8,14,26,2,86,62,30,34.6,20.6,27.6
c69aa504-fcd9-4dff-a261-a1e1bf4f4c9a,159,13.667,1,0,0,10,40,40,2,18,26,3,246,87,36,60.6,42.6,51.6
710037c3-9ffd-47e5-9e47-9ec56f87ea94,120,11.235,1,3,3,7,41,12,2,17,24,1,191,71,24,42.1,25.1,33.6
7d4cba90-ef28-4c39-875a-02ab9fe44ae5,93,9.294,2,1,1,8,32,8,1,17,20,1,158,65,10,38.8,21.8,30.3
3038430d-fa45-4405-b964-7c69bf5206fc,63,8.636,3,3,3,7,33,0,0,22,34,0,190,127,28,41.0,19.0,30.0
046cfa38-25a3-4cd0-aab2-5d3808194cfb,92,11.75,2,2,2,7,69,69,0,16,27,1,188,96,29,40.8,24.8,32.8
6cbe90f9-4b86-4635-927b-b04f4074d7ec,172,11.815,0,5,5,8,80,80,1,27,39,1,319,147,37,64.9,37.900000000000006,51.400000000000006
278b091e-61fb-4bb1-a445-4e267a3ecc3c,165,12.44,1,2,2,13,46,19,3,25,32,1,311,146,40,62.1,37.1,49.6
cda05cf4-8fab-4e66-b124-4f85fa23e618,103,8.455,2,5,5,8,25,0,4,22,38,0,186,83,16,40.6,18.6,29.6
399456d8-c8b5-4652-afb5-71c4c03b95f6,79,11.125,2,1,1,11,28,7,4,16,27,2,178,99,33,45.8,29.8,37.8
1d08d17e-284a-41b9-b48d-78a4b8824bd8,73,9.833,0,0,0,13,28,5,5,24,33,2,236,163,0,59.6,35.6,47.6
