game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
29572e8e-e260-43ea-85d8-25b05dc2b8cb,202,13.261,0,0,0,12,45,19,7,23,33,1,305,103,0,59.5,36.5,48.0
995df8e1-07b7-447a-95f7-8a7462fa3552,170,10.727,2,0,1,11,45,0,6,22,34,0,236,66,28,45.6,23.6,34.6
9af87d82-7907-4c5c-9f1f-4cda1d762033,121,8.87,2,0,0,9,28,8,4,23,34,1,204,83,16,49.400000000000006,26.400000000000002,37.900000000000006
621e89cf-9018-42b9-8afe-d234e30d2f6b,19,5.833,2,1,1,9,20,0,2,24,38,0,140,121,16,38.0,14.0,26.0
dbd2e6d3-4468-4e26-a4b4-548beae97ffd,84,10.167,2,1,1,11,33,6,3,18,25,2,183,99,34,48.3,30.3,39.3
941a5959-111d-431b-a1d4-38231a26dc21,244,10.818,1,2,1,13,51,34,2,33,46,1,357,113,34,74.7,41.7,58.2
05d7709e-c558-4549-b5cb-b7aae2987e7e,125,9.121,1,3,3,15,21,17,9,33,53,1,301,176,46,69.1,36.1,52.6
12db1871-7157-431e-81ee-0ab0394d29d0,216,17.7,2,4,4,12,58,58,2,20,29,2,354,138,12,67.4,47.4,57.4
7d46cf07-8a9d-40c7-84bf-7c6b98047f2c,88,8.231,1,1,1,11,31,8,6,26,32,3,214,126,17,65.4,39.400000000000006,52.400000000000006
573c2928-75f0-4b8e-969a-e89ece45fd58,140,8.923,1,3,3,10,26,15,3,26,40,2,232,92,31,61.2,35.2,48.2
5d5eb028-65f2-454e-8aca-5ec00fb31785,169,12.667,5,1,1,13,51,0,5,24,37,0,304,135,47,54.400000000000006,30.400000000000002,42.400000000000006
dd216370-628b-45a4-938c-83dad15dc60f,136,14.053,0,3,3,12,33,6,1,19,29,1,267,131,34,51.7,32.7,42.2
15bb08b6-5b5d-41d8-bf94-a287c1a89adc,77,6.611,0,0,0,8,44,7,3,18,22,2,119,42,17,41.9,23.9,32.9
3038430d-fa45-4405-b964-7c69bf5206fc,124,9.478,0,0,0,11,23,23,3,23,28,3,218,94,29,62.8,39.8,51.3
a5c8ad6c-fadd-4c57-89d3-c3166f20ff87,229,11.815,5,2,2,16,45,45,2,27,40,3,319,90,36,76.9,49.900000000000006,63.400000000000006
58c05e41-a737-40a5-ad3c-d320744588fe,97,8.32,0,2,2,13,32,22,3,25,34,2,208,111,30,57.8,32.8,45.3
07905409-d2cd-420f-885f-20d0c5de4476,185,12.0,1,0,0,13,39,39,4,22,25,4,264,79,16,72.4,50.400000000000006,61.400000000000006
141b9066-8c4b-4261-b135-fd043301b2dd,104,10.526,1,0,0,7,59,59,2,19,24,3,200,96,26,57.0,38.0,47.5
2b28f3dd-6bf4-47f6-85fe-cdc0e1855c28,110,22.091,0,1,1,8,70,70,1,11,15,2,243,133,7,47.3,36.3,41.8
977c6430-7104-4384-8813-2a0814f15fc5,92,10.143,0,0,0,7,29,13,2,14,23,1,142,50,0,34.2,20.200000000000003,27.200000000000003
