game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
9c9fb62d-5350-49a8-8be1-ef614a1fd2de,2,19,28,44,0,0,1,3,1,2,9,0,0.0,0,37,1,3.0,10.0,92.6,78.6,64.6
2917e52e-5e28-4e78-a6b9-beabc5c5ab18,1,17,20,24,0,1,0,0,0,0,6,0,5.0,0,42,4,8.0,52.0,50.6,40.6,30.6
ccdb35ce-2d0e-497e-8162-840572df94c1,0,17,32,49,1,1,1,7,1,7,6,0,4.0,0,52,0,7.0,26.0,86.7,70.7,54.7
2039b2f6-1e7e-4b04-a748-9c16c1685147,1,7,29,45,2,0,2,0,1,1,2,0,7.0,0,48,4,7.0,39.0,47.8,35.8,23.8
a8255a2f-1dd2-4555-bc9b-61b35c6115da,0,16,21,30,0,1,0,2,0,1,7,0,5.0,0,47,3,7.0,31.0,54.2,43.7,33.2
1ba76f67-8356-45b2-884e-f45185a26dba,0,19,32,41,1,0,1,0,1,3,3,0,1.0,0,43,1,5.0,18.0,98.4,82.4,66.4
d457fa6f-aa5e-4923-a683-b723a0cee085,0,8,29,42,0,3,0,10,2,1,2,0,1.0,0,40,2,2.0,12.0,48.2,35.7,23.200000000000003
25d42cdf-c6e7-41a3-a725-de6f6cb772d0,1,9,34,49,3,1,3,2,0,2,9,0,8.0,0,48,4,4.0,39.0,59.3,42.8,26.3
16457a3c-fff2-47cf-968a-0b9f4ca8e72f,0,7,25,36,0,1,0,0,0,2,7,0,0.0,0,41,0,5.0,10.0,68.30000000000001,56.800000000000004,45.300000000000004
cea16d81-991e-4560-8af5-7fb15a631c43,1,47,27,38,1,1,0,6,0,4,9,0,3.0,0,48,2,7.0,33.0,71.2,57.7,44.2
3cbffd50-da79-4ffb-a04b-766176b1ea00,2,8,18,30,1,2,0,9,0,2,8,0,2.0,0,43,1,3.0,11.0,41.7,32.7,23.7
e06640f6-dbdb-430c-b1a9-f398477a0f81,0,19,13,24,2,2,1,3,0,1,6,0,5.0,0,40,4,8.0,40.0,27.1,20.6,14.100000000000001
ebdaafda-0bae-4a34-9e44-349841e1b3bc,1,21,24,33,0,0,0,0,1,1,2,0,2.0,0,44,3,3.0,14.0,55.400000000000006,44.900000000000006,34.400000000000006
f7ea44fb-336b-4b4e-a369-70f9ef56174d,3,18,22,34,0,0,0,0,0,1,5,0,1.0,0,34,5,3.0,9.0,78.0,67.0,56.0
fd64785d-5a73-4a12-8ca7-6ffe8233cf2b,0,12,15,21,2,0,1,4,1,0,4,0,1.0,0,35,1,2.0,4.0,44.7,37.2,29.700000000000003
b06fe024-b433-42ed-8b68-69a338edc5ed,0,6,20,31,0,0,0,1,0,2,7,0,2.0,0,39,0,5.0,19.0,48.400000000000006,38.400000000000006,28.400000000000002
b1dd2898-3bcc-4f34-a3d9-b09225cf0f82,2,28,14,28,0,0,0,0,1,8,8,0,1.0,0,41,1,3.0,17.0,30.4,22.9,15.4
5b52c29c-46c1-4747-b452-cb06d54551ad,2,13,25,32,1,1,2,2,1,2,11,0,4.0,0,43,4,4.0,21.0,56.7,44.2,31.700000000000003
6667b81b-fddd-4839-b2e2-6ae6af6c0c3a,1,8,18,26,0,2,0,0,1,0,2,0,2.0,0,29,6,4.0,19.0,26.4,17.4,8.4
c99e7176-04fa-4e4f-8035-ed7d019be3a1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,46,3,8.0,30.0,55.5,43.0,30.5
