game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
6651d05f-21f5-4e6c-a595-43358844d80a,0,10,25,34,2,1,2,1,0,1,6,0,3.0,0,38,2,11.0,31.0,34.2,23.700000000000003,13.200000000000001
9bb5672f-4968-4d61-ae96-db32e26b10bb,1,1,15,28,1,0,1,5,1,2,3,0,7.0,0,34,2,5.0,22.0,66.8,57.8,48.8
b993e54b-47f5-47c0-92b3-e5c325cbce66,2,8,24,37,0,1,0,0,1,2,10,0,0.0,0,41,0,4.0,10.0,47.8,37.8,27.8
667e5a52-a24a-4f03-8a9b-2bf65d9c80ab,1,20,25,34,1,0,0,4,0,6,7,0,3.0,0,48,1,7.0,17.0,68.9,56.400000000000006,43.900000000000006
7af57f0d-1db1-4790-a929-07547d3b4c7c,2,6,15,25,1,0,0,7,0,5,7,0,3.0,0,33,2,2.0,9.0,67.2,59.7,52.2
208d722a-0a3a-4191-b9cc-61aaa7a545af,1,8,27,43,0,2,0,3,3,4,4,0,3.0,0,51,2,2.0,14.0,70.7,56.7,42.7
68dd7644-8549-473a-aa23-f5587b1d90db,0,9,19,29,1,0,1,4,0,0,4,0,4.0,0,37,5,8.0,36.0,57.900000000000006,48.900000000000006,39.900000000000006
08bc19a0-57a0-4384-ad54-e1841617eb52,0,14,29,35,1,0,2,2,0,2,7,0,2.0,0,39,2,3.0,5.0,84.9,70.4,55.900000000000006
d13a3998-07a6-4fbb-b2d9-9092079b58a4,1,6,24,43,0,1,0,1,1,1,4,0,0.0,0,34,2,1.0,1.0,52.0,40.0,28.0
22addc26-3d63-479f-b15b-6574214df72f,2,10,31,42,0,0,0,6,0,4,7,0,1.0,0,47,3,4.0,8.0,79.9,64.4,48.9
c69aa504-fcd9-4dff-a261-a1e1bf4f4c9a,2,16,18,26,0,1,0,1,0,0,6,0,9.0,0,35,5,12.0,45.0,60.6,51.6,42.6
c452d212-f557-4234-83ad-d66fa417d3e5,1,8,22,32,1,0,0,0,0,2,4,0,0.0,0,31,1,4.0,10.0,79.1,68.1,57.1
64ef040c-fbfd-4599-8d5f-0af7c00a6f67,0,5,19,25,0,0,0,0,0,1,12,0,0.0,0,42,2,6.0,31.0,59.3,49.8,40.3
487cde3c-2485-4b70-a6b1-2c979b7ee396,1,13,25,33,2,0,2,0,0,3,4,0,3.0,0,40,2,6.0,25.0,62.8,50.3,37.8
aed5b2ec-ff34-419b-b159-fabab8a6cc73,0,1,27,48,0,1,1,0,1,4,3,0,0.0,0,47,1,2.0,9.0,54.7,41.2,27.700000000000003
6a9c26d1-97bb-4087-9b96-8206fcd0d68f,0,6,22,27,0,1,0,0,0,1,4,0,1.0,0,45,1,5.0,15.0,57.0,46.0,35.0
bc2599d4-602b-4040-a072-eeeebc793fac,1,11,35,40,0,0,0,0,1,0,8,0,0.0,0,50,0,4.0,5.0,88.9,71.9,54.900000000000006
cc1fb99b-ae09-4ce2-8d2c-1969e2eadcb3,0,22,26,32,0,0,0,8,0,3,9,0,1.0,0,39,1,8.0,31.0,76.9,64.9,52.900000000000006
399456d8-c8b5-4652-afb5-71c4c03b95f6,0,11,16,27,1,1,1,3,0,3,6,0,1.0,0,29,1,2.0,5.0,45.8,37.8,29.8
