game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
6651d05f-21f5-4e6c-a595-43358844d80a,134,10.632,2,2,2,10,32,7,1,19,29,1,202,68,10,45.2,26.200000000000003,35.7
9bb5672f-4968-4d61-ae96-db32e26b10bb,139,11.074,1,1,1,11,36,30,4,27,34,2,299,160,63,68.9,41.900000000000006,55.400000000000006
b993e54b-47f5-47c0-92b3-e5c325cbce66,132,8.947,3,1,1,8,37,0,4,19,29,0,170,38,8,36.0,17.0,26.5
667e5a52-a24a-4f03-8a9b-2bf65d9c80ab,155,10.0,2,2,2,12,35,10,6,29,39,1,290,135,30,64.0,35.0,49.5
7af57f0d-1db1-4790-a929-07547d3b4c7c,217,10.486,1,1,1,21,41,3,4,37,48,2,388,171,79,87.80000000000001,50.800000000000004,69.30000000000001
208d722a-0a3a-4191-b9cc-61aaa7a545af,74,10.786,1,0,0,9,24,24,3,14,21,3,151,77,19,47.1,33.1,40.1
68dd7644-8549-473a-aa23-f5587b1d90db,140,11.318,0,2,2,9,31,0,8,22,36,0,249,109,26,46.900000000000006,24.900000000000002,35.900000000000006
08bc19a0-57a0-4384-ad54-e1841617eb52,231,10.179,6,3,4,20,26,26,3,39,51,4,397,166,52,102.7,63.7,83.2
d13a3998-07a6-4fbb-b2d9-9092079b58a4,161,11.207,1,2,2,14,36,33,4,29,44,1,325,164,17,67.5,38.5,53.0
22addc26-3d63-479f-b15b-6574214df72f,82,10.759,4,1,1,13,51,51,1,29,42,3,312,230,26,78.2,49.2,63.7
c69aa504-fcd9-4dff-a261-a1e1bf4f4c9a,85,8.258,1,2,2,12,29,8,5,31,42,1,256,171,54,62.6,31.6,47.1
c452d212-f557-4234-83ad-d66fa417d3e5,144,10.714,0,2,2,15,30,0,2,28,44,0,300,156,15,58.0,30.0,44.0
64ef040c-fbfd-4599-8d5f-0af7c00a6f67,84,10.583,0,1,1,5,33,0,2,12,22,0,127,43,8,24.700000000000003,12.700000000000001,18.700000000000003
487cde3c-2485-4b70-a6b1-2c979b7ee396,172,11.895,0,0,0,9,48,29,6,19,34,3,226,54,6,59.6,40.6,50.1
aed5b2ec-ff34-419b-b159-fabab8a6cc73,55,9.75,0,4,4,7,29,15,4,16,32,1,156,101,35,37.6,21.6,29.6
6a9c26d1-97bb-4087-9b96-8206fcd0d68f,66,9.941,1,1,1,6,42,3,4,17,26,1,169,103,40,39.900000000000006,22.900000000000002,31.400000000000002
bc2599d4-602b-4040-a072-eeeebc793fac,11,7.85,2,0,0,9,19,1,3,20,28,1,157,146,49,41.7,21.700000000000003,31.700000000000003
cc1fb99b-ae09-4ce2-8d2c-1969e2eadcb3,30,10.824,3,1,1,7,32,0,1,17,24,0,184,154,77,35.400000000000006,18.400000000000002,26.900000000000002
399456d8-c8b5-4652-afb5-71c4c03b95f6,84,9.826,0,0,0,11,34,0,4,23,29,0,226,142,19,45.6,22.6,34.1
