game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
96f5c24c-b61f-4c3c-b93d-e576cdb7cf15,231,13.917,3,2,2,17,44,0,4,24,37,0,334,103,59,57.4,33.4,45.4
10b3c063-e45a-4118-8de0-978511b11f72,163,9.029,0,8,6,17,20,6,1,34,52,1,307,144,28,70.7,36.7,53.7
b56959d3-74b7-4cc6-9169-eba8d60608be,170,14.944,0,4,3,12,46,1,6,18,32,1,269,99,28,50.900000000000006,32.900000000000006,41.900000000000006
170250b1-26b1-44ad-8e93-be76305ac667,205,11.815,0,0,0,16,33,22,3,27,39,1,319,114,21,64.9,37.900000000000006,51.400000000000006
0e853aec-266e-48c8-bbd5-290385f341e1,125,10.571,0,3,3,13,39,22,2,21,34,2,222,97,32,55.2,34.2,44.7
0f26b77e-4e60-4231-806f-74fd751e76c5,142,15.067,1,1,1,7,49,13,5,15,21,1,226,84,19,43.6,28.6,36.1
50565c54-2e14-4884-96fb-f259aec55a2e,119,16.5,1,4,4,8,36,31,1,14,27,1,231,112,30,43.1,29.1,36.1
f7066066-e0ce-4de3-b34d-09d9c542652d,75,11.333,1,1,1,8,32,20,4,18,32,1,204,129,32,44.400000000000006,26.400000000000002,35.400000000000006
f22a607d-42d2-4d3b-939a-ef537b6ec9b9,82,10.0,0,1,1,6,34,0,0,13,27,0,130,48,17,26.0,13.0,19.5
16a019e0-ab0a-47c4-883f-3b6eec5e03a5,66,11.176,1,4,4,9,32,4,7,17,29,1,190,124,25,42.0,25.0,33.5
aa6d465e-8567-40ce-9e52-6c0d0895de82,100,9.16,4,0,0,16,42,15,8,25,31,4,229,129,50,71.9,46.900000000000006,59.400000000000006
3bb41c33-5d92-46c5-8954-dea91ef6dc0e,131,12.682,0,2,2,10,70,70,3,22,34,3,279,148,0,67.9,45.900000000000006,56.900000000000006
20cb63bb-cb3a-4682-9ae7-4ca884fd8d15,151,12.783,3,2,2,14,34,7,10,23,39,3,294,143,27,70.4,47.400000000000006,58.900000000000006
487cde3c-2485-4b70-a6b1-2c979b7ee396,117,10.32,0,1,1,10,62,62,7,25,32,2,258,141,9,62.8,37.8,50.3
a5c8ad6c-fadd-4c57-89d3-c3166f20ff87,200,13.667,2,2,2,18,41,4,6,24,32,2,328,128,48,68.80000000000001,44.800000000000004,56.800000000000004
6cbe90f9-4b86-4635-927b-b04f4074d7ec,82,13.208,1,2,3,14,80,5,3,24,34,1,317,235,125,61.7,37.7,49.7
7885d41f-ea3d-4b7d-898d-11279e6f99ec,98,9.588,0,1,1,11,29,19,3,17,23,2,163,65,17,45.3,28.3,36.8
58aee650-cc6e-49cb-a980-67545ef79f2d,146,9.324,1,4,4,15,63,9,6,34,48,1,317,171,103,71.7,37.7,54.7
03b6f14f-edd8-4aea-9e7b-314be247be63,112,11.368,2,2,2,9,42,0,7,19,27,0,216,104,29,40.6,21.6,31.1
9b10296a-5675-48b9-af09-51c97a447516,88,11.4,0,0,0,7,32,15,1,15,20,1,171,83,0,38.1,23.1,30.6
