game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
36710c13-8f70-4a13-bd70-e1bfc74c3ab8,2,55,21,32,0,0,0,7,0,1,4,0,1.0,0,41,4,2.0,5.0,50.3,39.8,29.3
c1052576-390a-49b8-9101-88e7d802b464,0,26,18,22,0,0,0,0,1,0,8,0,4.0,0,52,3,5.0,25.0,43.3,34.3,25.3
ccdb35ce-2d0e-497e-8162-840572df94c1,0,75,41,48,4,1,1,3,0,3,6,0,1.0,0,43,1,3.0,7.0,110.4,89.9,69.4
4b94c5f8-47de-4704-97fd-0fc3886c6c43,1,19,25,31,2,1,1,1,0,1,2,0,5.0,0,45,3,8.0,39.0,45.400000000000006,32.900000000000006,20.400000000000002
f5a05fb8-5fce-47f2-bd0c-8ab61d7c86f4,0,51,31,39,0,0,0,7,0,7,5,0,2.0,0,41,1,2.0,15.0,71.1,55.6,40.1
f1946916-a87b-4d44-a60a-407e25397040,1,20,18,27,2,1,2,5,2,2,5,0,5.0,0,50,2,6.0,27.0,30.1,22.1,14.100000000000001
88081ea3-9c5f-4953-8f8a-dd2b8e96709a,1,27,23,31,1,0,1,7,2,2,5,0,1.0,0,34,0,3.0,16.0,54.2,43.7,33.2
f1099e5b-7021-4afd-9738-d5c44149414a,0,26,24,40,2,3,0,0,1,2,5,0,4.0,0,38,4,1.0,12.0,52.900000000000006,40.900000000000006,28.900000000000002
4ae2a998-855d-4746-a1ac-a35bca05a9e7,0,20,21,36,1,0,1,2,1,2,2,0,1.0,0,41,0,6.0,26.0,53.8,43.3,32.8
573c2928-75f0-4b8e-969a-e89ece45fd58,0,16,26,41,1,0,0,1,2,4,1,0,3.0,0,33,5,5.0,18.0,61.2,48.2,35.2
9715aada-fd9d-4e6b-9824-13629029cf6a,0,0,27,35,1,0,0,0,0,5,0,0,2.0,0,35,4,5.0,15.0,58.900000000000006,45.400000000000006,31.900000000000002
fc1105aa-9391-42b9-a59f-0b8879642cde,2,43,26,31,3,0,2,11,0,2,6,0,3.0,0,45,1,5.0,13.0,48.7,35.2,21.700000000000003
88d49c99-0da4-4502-81d2-6def83bb058a,0,12,22,30,1,0,2,2,1,1,3,0,4.0,0,33,5,5.0,27.0,38.1,27.6,17.1
3d21e60f-18aa-4a25-bc47-ba6bc31f4938,2,44,29,40,1,0,0,8,1,3,6,0,5.0,0,47,2,6.0,28.0,73.4,58.9,44.4
c2dcdbbd-3de4-4b79-9b1c-401a21f7063e,0,41,33,42,2,0,1,5,0,2,14,0,1.0,0,48,2,4.0,17.0,61.7,46.7,31.700000000000003
5592c08c-4cb1-49e9-90b0-9b04ace1fbdf,1,21,24,33,0,1,0,1,0,2,15,0,0.0,0,41,2,1.0,6.0,72.3,59.8,47.3
0cb9edf9-d268-4f1f-be29-10241ab955c6,0,18,31,42,0,0,0,4,0,2,13,0,1.0,0,36,3,3.0,16.0,67.0,55.5,44.0
cda05cf4-8fab-4e66-b124-4f85fa23e618,1,21,22,38,0,2,0,7,2,7,5,0,5.0,0,40,3,6.0,27.0,40.6,29.6,18.6
7f596fcd-969e-489e-9f55-31cc4aa2c543,0,40,28,36,1,2,1,8,1,3,5,0,6.0,0,42,1,8.0,38.0,65.9,51.900000000000006,37.900000000000006
d0a2f06f-2a78-4961-9c77-30c4da99626a,0,0,0,0,0,2,0,0,2,0,0,0,5.0,0,38,2,9.0,57.0,64.7,50.7,36.7
