game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
36710c13-8f70-4a13-bd70-e1bfc74c3ab8,199,10.424,1,1,1,15,42,39,6,33,44,2,344,145,24,79.4,46.4,62.9
c1052576-390a-49b8-9101-88e7d802b464,209,11.742,3,3,3,19,62,62,4,31,43,4,364,155,47,91.4,60.4,75.9
ccdb35ce-2d0e-497e-8162-840572df94c1,218,11.469,0,2,1,15,52,52,11,32,48,3,367,149,37,86.7,54.7,70.7
4b94c5f8-47de-4704-97fd-0fc3886c6c43,92,11.583,0,1,1,9,30,30,2,12,18,2,139,47,9,37.9,25.9,31.9
f5a05fb8-5fce-47f2-bd0c-8ab61d7c86f4,147,9.793,2,3,3,15,27,9,8,29,46,2,284,137,43,69.4,40.400000000000006,54.900000000000006
f1946916-a87b-4d44-a60a-407e25397040,100,8.619,1,4,4,8,21,10,2,21,30,1,181,81,24,45.1,24.1,34.6
88081ea3-9c5f-4953-8f8a-dd2b8e96709a,203,10.8,3,1,1,18,60,60,5,35,43,2,378,175,96,84.80000000000001,49.800000000000004,67.30000000000001
f1099e5b-7021-4afd-9738-d5c44149414a,178,11.423,5,2,2,14,32,20,7,26,34,2,297,119,45,67.7,41.7,54.7
4ae2a998-855d-4746-a1ac-a35bca05a9e7,117,9.44,1,1,1,13,47,6,10,25,35,2,236,119,55,60.6,35.6,48.1
573c2928-75f0-4b8e-969a-e89ece45fd58,157,11.652,0,2,2,12,29,28,4,23,32,1,268,111,39,55.8,32.8,44.3
9715aada-fd9d-4e6b-9824-13629029cf6a,128,11.05,0,1,1,9,29,3,3,20,29,1,221,93,19,48.1,28.1,38.1
fc1105aa-9391-42b9-a59f-0b8879642cde,122,8.409,1,1,1,8,28,17,1,22,30,1,185,63,3,46.5,24.5,35.5
88d49c99-0da4-4502-81d2-6def83bb058a,99,7.684,1,2,2,9,26,0,0,19,33,0,146,47,13,33.6,14.600000000000001,24.1
3d21e60f-18aa-4a25-bc47-ba6bc31f4938,166,11.654,0,0,0,16,37,37,3,26,32,2,303,137,18,68.3,42.3,55.3
c2dcdbbd-3de4-4b79-9b1c-401a21f7063e,301,18.682,1,0,0,15,47,26,5,22,35,2,411,110,22,75.1,53.1,64.1
5592c08c-4cb1-49e9-90b0-9b04ace1fbdf,83,10.0,1,5,1,10,21,6,8,18,31,1,180,97,33,42.0,24.0,33.0
0cb9edf9-d268-4f1f-be29-10241ab955c6,255,13.2,1,0,0,15,42,42,0,30,43,2,396,141,38,81.6,51.6,66.6
cda05cf4-8fab-4e66-b124-4f85fa23e618,140,10.947,0,0,0,8,44,21,3,19,23,2,208,68,10,51.8,32.8,42.3
7f596fcd-969e-489e-9f55-31cc4aa2c543,116,15.765,0,0,0,9,97,97,4,17,24,2,268,152,11,55.8,38.8,47.3
d0a2f06f-2a78-4961-9c77-30c4da99626a,114,10.647,0,0,0,12,28,8,9,17,25,4,181,67,0,59.1,42.1,50.6
