game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
7fa08811-7cf6-4f09-a3b6-f35e91ab055e,1,11,38,59,1,3,1,17,1,4,7,0,2.0,0,41,4,5.0,11.0,84.6,67.1,49.6
c1052576-390a-49b8-9101-88e7d802b464,0,9,31,43,3,0,2,0,0,8,5,0,2.0,0,34,2,3.0,14.0,91.4,75.9,60.4
acf1f2a6-1e48-4971-aa52-1a32e322d63f,0,5,16,26,2,0,1,3,1,2,2,0,2.0,1,28,1,4.0,6.0,35.6,28.1,20.6
667e5a52-a24a-4f03-8a9b-2bf65d9c80ab,1,30,30,40,1,0,0,5,0,4,10,0,5.0,0,46,2,5.0,32.0,64.0,49.5,35.0
0e853aec-266e-48c8-bbd5-290385f341e1,0,4,21,37,1,1,0,1,0,4,0,0,4.0,0,31,0,6.0,31.0,55.2,44.7,34.2
6866131a-c15d-4b3c-9f15-aeff08d50e23,0,21,19,33,0,1,0,6,0,3,5,0,5.0,0,30,1,6.0,25.0,37.6,28.1,18.6
7b2da75e-2f9e-4a6a-ba4c-ba6d98ac32d2,0,7,24,33,0,2,0,2,1,0,0,0,4.0,0,34,1,8.0,31.0,50.6,39.1,27.6
08bc19a0-57a0-4384-ad54-e1841617eb52,1,15,39,51,1,3,0,1,1,5,9,0,1.0,0,47,0,4.0,4.0,102.7,83.2,63.7
7e44751b-9d3d-4722-aa34-959d722a7eb4,0,4,29,44,1,2,1,6,0,4,4,0,5.0,0,42,1,4.0,32.0,84.4,69.9,55.4
5eedbc61-0130-459e-a640-efcc30708407,1,19,23,39,1,1,1,11,1,7,4,0,1.0,0,49,4,2.0,11.0,53.7,41.7,29.7
836211c3-a784-44d9-a704-3fc0c7364855,0,15,29,49,0,0,0,0,1,3,8,0,1.0,0,54,1,4.0,19.0,74.9,60.4,45.9
0faaca68-aae3-4632-b12b-35a9c8b7941e,1,4,19,27,0,0,0,1,0,1,9,0,2.0,0,31,2,3.0,7.0,74.4,64.9,55.400000000000006
1afdd4c3-89b8-4e67-8e1b-295f3fa2d4d3,1,6,23,39,1,0,1,3,0,0,2,0,3.0,0,45,1,3.0,14.0,63.1,51.1,39.1
322508eb-5e6c-42d1-b91e-c08535bcf245,0,4,21,32,0,0,0,2,0,1,5,0,2.0,0,36,4,5.0,22.0,48.8,37.8,26.8
046cfa38-25a3-4cd0-aab2-5d3808194cfb,0,6,16,27,0,2,0,1,1,5,3,0,1.0,0,36,2,4.0,9.0,40.8,32.8,24.8
5b2a209d-3d6a-42c7-8dd3-7a49a59c05b1,1,13,25,31,1,0,0,6,1,2,16,0,1.0,0,46,0,3.0,6.0,66.2,53.7,41.2
278b091e-61fb-4bb1-a445-4e267a3ecc3c,0,18,27,34,0,0,0,3,1,1,9,0,2.0,0,45,2,4.0,12.0,62.1,49.6,37.1
a58fcc05-e52a-4a94-b369-1f569b53521e,0,15,18,32,1,0,0,3,1,3,10,0,2.0,0,28,0,4.0,12.0,55.0,46.5,38.0
7c3800ba-4355-40b2-86fa-86ddc5da545d,1,15,20,29,0,1,0,3,0,1,10,0,1.0,0,38,0,3.0,11.0,56.1,46.1,36.1
977c6430-7104-4384-8813-2a0814f15fc5,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,35,2,6.0,21.0,34.2,27.200000000000003,20.200000000000003
