game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
96f5c24c-b61f-4c3c-b93d-e576cdb7cf15,41,7.0,2,2,2,7,28,10,3,16,24,1,112,71,24,33.2,17.200000000000003,25.200000000000003
134e5c18-f21d-40c6-a3ac-27aaaf490fd2,210,10.25,4,0,0,18,31,6,6,32,37,2,328,118,26,76.80000000000001,44.800000000000004,60.800000000000004
2273ef3a-6eff-4028-824a-9e7224a323c8,146,12.87,2,2,2,14,36,5,7,23,35,1,296,150,38,58.6,35.6,47.1
ef3b9907-3ed0-43f4-9b2b-75d69398f57b,62,11.533,0,2,1,6,51,6,2,15,26,1,173,111,43,38.3,23.3,30.8
d6c8527c-5735-40a8-a91b-bcc96c4d9aca,184,12.074,2,0,0,13,36,0,7,27,37,0,326,142,30,59.6,32.6,46.1
f9056e07-780d-455a-bc1c-ff03d4f20fdb,176,12.167,0,3,3,11,31,28,3,18,24,2,219,43,9,51.900000000000006,33.900000000000006,42.900000000000006
cbf85125-cfe6-4a87-a0b3-997bad59c048,122,11.043,1,0,0,12,43,12,8,23,36,2,254,132,36,60.400000000000006,37.400000000000006,48.900000000000006
68f2e7c1-76cf-4b3e-9ba4-48a735d7d5c9,100,12.077,0,1,1,5,50,0,2,13,25,0,157,57,5,28.700000000000003,15.700000000000001,22.200000000000003
22addc26-3d63-479f-b15b-6574214df72f,112,11.903,5,1,1,16,64,64,2,31,42,2,369,257,73,79.9,48.9,64.4
16a019e0-ab0a-47c4-883f-3b6eec5e03a5,119,9.833,0,1,2,12,53,8,1,24,38,1,236,117,29,53.6,29.6,41.6
0b230e93-217b-4938-a9cf-324d95b4c8f7,110,10.0,0,1,1,6,34,0,1,18,27,0,180,70,9,36.0,18.0,27.0
6101c145-f366-4918-8642-d7936f38c214,145,14.522,3,3,3,16,73,73,5,23,38,3,334,189,63,74.4,51.4,62.9
261e687a-fcd0-4ccc-8691-bb4b7b321106,102,12.227,8,3,3,11,31,31,2,22,31,2,269,167,73,60.900000000000006,38.900000000000006,49.900000000000006
322508eb-5e6c-42d1-b91e-c08535bcf245,125,9.455,1,2,2,7,34,29,2,22,32,1,208,83,29,48.8,26.8,37.8
19a88df4-b884-496a-b581-078de5c163c7,135,9.08,0,1,1,14,26,11,6,25,36,2,227,92,19,59.7,34.7,47.2
6f495571-57f9-4125-9b46-7421a38eccd3,159,12.609,0,4,4,13,33,12,5,23,33,1,290,131,31,58.0,35.0,46.5
17da17ed-d2af-48ce-98df-fd97e851a677,100,11.813,0,4,4,8,37,34,3,16,26,2,189,89,20,46.900000000000006,30.900000000000002,38.900000000000006
53413ecb-275d-4563-b62f-80e0b5645732,104,9.5,1,0,0,11,30,30,3,18,25,1,171,67,17,41.1,23.1,32.1
bec1fe73-463b-4eef-b1bf-7b074c658899,166,9.909,1,4,4,11,56,56,1,33,43,1,327,161,40,71.7,38.7,55.2
ede7bf8b-d5c8-4efe-beca-891efd5182af,135,11.115,0,0,0,13,71,71,0,26,33,1,289,154,0,60.900000000000006,34.900000000000006,47.900000000000006
