game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
36710c13-8f70-4a13-bd70-e1bfc74c3ab8,1,40,33,43,1,0,2,4,1,7,2,0,2.0,0,42,5,6.0,20.0,79.4,62.9,46.4
06d861af-db7b-4dd0-a916-e91f5c74e2c3,1,11,18,30,1,0,0,2,2,3,9,0,6.0,0,29,3,5.0,38.0,43.1,35.1,27.1
acf1f2a6-1e48-4971-aa52-1a32e322d63f,0,29,25,37,0,1,0,4,2,3,10,0,1.0,0,47,0,3.0,10.0,56.7,45.2,33.7
621e89cf-9018-42b9-8afe-d234e30d2f6b,0,16,24,38,2,1,2,0,1,2,6,0,3.0,0,36,1,4.0,20.0,38.0,26.0,14.0
46dfa19a-bd6b-41c6-8f24-840c7588fe59,1,22,30,41,1,0,0,4,0,0,3,0,3.0,0,42,1,5.0,20.0,77.30000000000001,62.300000000000004,47.300000000000004
1b5d9445-c337-4a49-b600-ca98f4538638,1,8,28,33,2,0,2,3,0,0,3,0,1.0,0,47,3,2.0,5.0,44.0,34.5,25.0
fd9f7b9c-cea0-442d-b538-35d039772dfb,2,15,31,40,0,1,0,3,1,1,7,0,2.0,0,48,0,4.0,15.0,75.4,59.9,44.4
b5c289ca-4905-494a-85ad-7c25d1c5586b,0,27,30,38,2,0,1,7,0,5,6,0,3.0,0,40,3,9.0,33.0,107.0,92.0,77.0
b820ed44-098a-4c44-a28b-71203299a4a9,1,0,19,39,0,2,0,0,1,9,1,0,4.0,0,29,2,10.0,47.0,38.900000000000006,29.400000000000002,19.900000000000002
9e858d5f-c8c6-4fed-b15c-4ffbe49b4002,0,3,21,25,0,1,0,0,0,2,4,0,4.0,0,44,2,9.0,37.0,72.30000000000001,61.800000000000004,51.300000000000004
6c37caee-72d0-4eab-9fc5-a11155504d39,2,15,24,40,0,1,0,1,1,1,1,0,2.0,0,44,2,4.0,15.0,49.1,37.1,25.1
a0796442-e122-49d3-a735-f8e9e4b71f28,0,6,15,31,1,2,0,1,1,2,3,0,4.0,0,41,6,6.0,39.0,32.8,25.3,17.8
efd4ae35-4de5-47d4-85fe-cfcdbe3d68c1,0,14,28,39,2,0,0,0,1,0,2,0,3.0,1,40,2,2.0,9.0,66.7,53.7,40.7
00e3dae8-7b4c-411d-baec-d442e90ce83b,0,40,29,36,2,2,1,5,0,4,4,0,2.0,0,36,1,6.0,9.0,69.4,54.900000000000006,40.400000000000006
bf34bf3a-0af6-498f-b11e-10e789b18826,0,57,29,45,2,2,2,2,2,1,7,0,4.0,0,37,1,5.0,42.0,70.5,56.5,42.5
58c05e41-a737-40a5-ad3c-d320744588fe,1,19,24,33,0,0,0,2,0,0,5,0,1.0,0,44,4,7.0,15.0,57.8,45.3,32.8
796e79bc-c26f-4a23-b357-17a366cf5e6e,0,21,11,18,2,0,2,6,0,2,4,0,3.0,0,32,3,4.0,21.0,20.4,14.9,9.4
cc1fb99b-ae09-4ce2-8d2c-1969e2eadcb3,0,32,17,24,2,0,0,6,0,1,7,0,2.0,0,32,2,3.0,14.0,35.400000000000006,26.900000000000002,18.400000000000002
f3544bab-b8d9-4c64-843b-8bfed2a08361,1,105,41,61,0,2,0,4,2,10,13,0,0.0,0,51,0,4.0,15.0,67.4,49.9,32.4
fe80d709-fc94-4d2d-aab7-fe31f30426a3,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0,37,2,2.0,7.0,46.6,34.1,21.6
