game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
36710c13-8f70-4a13-bd70-e1bfc74c3ab8,90,8.238,1,1,1,9,28,28,4,21,32,2,173,83,14,50.3,29.3,39.8
06d861af-db7b-4dd0-a916-e91f5c74e2c3,172,12.192,5,1,1,10,70,32,3,26,32,1,317,145,47,63.7,37.7,50.7
acf1f2a6-1e48-4971-aa52-1a32e322d63f,90,9.733,1,2,2,10,24,1,6,15,25,1,146,56,17,35.6,20.6,28.1
621e89cf-9018-42b9-8afe-d234e30d2f6b,114,9.84,3,0,0,13,42,5,6,25,30,3,246,132,27,67.6,42.6,55.1
46dfa19a-bd6b-41c6-8f24-840c7588fe59,144,10.842,2,1,1,12,26,0,3,19,37,0,206,62,8,39.6,20.6,30.1
1b5d9445-c337-4a49-b600-ca98f4538638,121,10.185,1,2,2,13,40,40,4,27,41,1,275,154,23,60.5,33.5,47.0
fd9f7b9c-cea0-442d-b538-35d039772dfb,104,9.48,0,2,2,10,31,24,1,25,39,2,237,133,28,60.7,35.7,48.2
b5c289ca-4905-494a-85ad-7c25d1c5586b,151,12.619,0,0,0,10,53,14,8,21,30,2,265,114,16,59.5,38.5,49.0
b820ed44-098a-4c44-a28b-71203299a4a9,160,15.444,0,2,2,12,43,43,3,18,29,2,278,118,21,57.8,39.8,48.8
9e858d5f-c8c6-4fed-b15c-4ffbe49b4002,121,8.483,0,2,2,14,41,1,8,29,43,1,246,125,5,59.6,30.6,45.1
6c37caee-72d0-4eab-9fc5-a11155504d39,110,9.95,2,4,4,9,24,23,4,20,30,2,199,89,19,51.900000000000006,31.900000000000002,41.900000000000006
a0796442-e122-49d3-a735-f8e9e4b71f28,96,14.429,0,3,3,7,75,75,0,14,27,1,202,106,23,40.2,26.200000000000003,33.2
efd4ae35-4de5-47d4-85fe-cfcdbe3d68c1,43,10.286,0,1,1,8,32,31,1,14,29,2,144,101,6,40.4,26.4,33.4
00e3dae8-7b4c-411d-baec-d442e90ce83b,199,17.318,0,0,0,18,52,52,3,22,27,4,381,182,73,84.1,62.1,73.1
bf34bf3a-0af6-498f-b11e-10e789b18826,188,10.885,1,2,2,17,25,22,4,26,35,2,283,95,43,66.3,40.3,53.3
58c05e41-a737-40a5-ad3c-d320744588fe,162,14.045,1,2,2,10,54,47,0,22,33,2,309,147,19,64.9,42.900000000000006,53.900000000000006
796e79bc-c26f-4a23-b357-17a366cf5e6e,52,6.85,1,0,0,6,20,0,1,20,31,0,137,85,22,33.7,13.700000000000001,23.700000000000003
cc1fb99b-ae09-4ce2-8d2c-1969e2eadcb3,102,12.042,1,1,1,15,32,32,5,24,30,4,289,187,54,76.9,52.900000000000006,64.9
f3544bab-b8d9-4c64-843b-8bfed2a08361,95,15.417,0,1,1,9,41,41,1,12,19,1,185,90,19,36.5,24.5,30.5
fe80d709-fc94-4d2d-aab7-fe31f30426a3,54,6.52,0,0,0,11,13,5,3,25,32,1,163,109,0,47.3,22.3,34.8
