game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
9c9fb62d-5350-49a8-8be1-ef614a1fd2de,0,10,23,31,0,1,0,4,0,1,12,0,3.0,0,54,3,4.0,23.0,51.900000000000006,40.400000000000006,28.900000000000002
51923306-5934-45db-b49b-02c77bebff0e,1,25,38,49,1,1,1,0,1,1,6,0,4.0,0,47,1,8.0,39.0,60.1,44.6,29.1
2871c33a-b958-44c0-a690-a4ffceb7972a,2,28,23,36,3,1,2,5,1,11,6,0,1.0,0,32,4,4.0,22.0,59.6,48.1,36.6
8899218a-fdf9-4e16-b7b9-fd4cd10b86f1,1,12,21,25,0,0,0,6,0,1,12,0,2.0,0,37,1,6.0,20.0,77.0,66.5,56.0
dc105cfb-5e42-4b1a-b57f-7cd822fe4c13,1,12,23,30,1,1,0,6,0,5,5,0,7.0,0,51,2,8.0,25.0,43.5,32.0,20.5
98e64983-4460-4ead-8490-73124bb9f25f,0,13,25,36,1,4,0,0,0,5,7,0,4.0,0,40,2,4.0,30.0,52.400000000000006,40.400000000000006,28.400000000000002
7b2da75e-2f9e-4a6a-ba4c-ba6d98ac32d2,2,19,23,30,1,0,1,1,1,2,9,0,3.0,0,44,0,4.0,18.0,62.900000000000006,51.400000000000006,39.900000000000006
94d238aa-f794-4c2e-beb2-66155c9b5cb0,0,10,19,28,0,1,0,2,1,4,9,0,3.0,0,35,3,4.0,24.0,47.1,37.6,28.1
a5bcd714-9e0f-4732-83ef-277c70a60c39,1,21,22,30,1,0,1,7,0,3,6,0,2.0,0,34,2,1.0,7.0,50.5,40.5,30.5
a03a8c20-a355-48a5-85f1-cdf446305709,1,5,23,37,0,2,0,1,3,4,3,0,2.0,0,37,4,6.0,21.0,57.1,45.1,33.1
0133115f-86e4-46ee-b527-c793a1a1ebed,1,6,27,37,1,1,0,2,2,4,6,0,7.0,0,38,4,9.0,49.0,50.900000000000006,37.400000000000006,23.900000000000002
64ef040c-fbfd-4599-8d5f-0af7c00a6f67,1,7,12,22,1,0,0,1,1,5,7,0,3.0,0,29,3,3.0,15.0,24.700000000000003,18.700000000000003,12.700000000000001
a83301f9-7a05-4159-9a05-35a2cba4bc15,2,8,23,36,1,0,1,3,1,6,3,0,1.0,0,38,3,3.0,9.0,61.7,50.2,38.7
f8220a12-14c1-446d-bb37-a8e68112dfe9,1,14,18,33,2,2,2,4,2,7,3,0,6.0,0,30,3,5.0,20.0,31.6,22.6,13.600000000000001
36659169-5373-4de0-80ca-06ac24c283a6,2,12,20,32,0,0,1,3,0,7,12,0,4.0,0,40,2,3.0,8.0,57.3,47.3,37.3
e6a8076b-558c-47b1-9e53-f005894bf9af,0,18,18,21,1,0,1,2,0,1,17,0,1.0,0,37,1,4.0,16.0,89.0,79.5,70.0
b5c5afbb-0eff-4766-b3b6-6a948e27b347,1,23,30,37,1,2,1,5,2,5,6,0,3.0,0,50,0,4.0,14.0,77.9,62.9,47.9
c398b7c3-8d76-4437-b05e-cd6bb4d0febf,0,14,12,20,1,1,1,1,0,1,4,0,3.0,0,31,4,6.0,27.0,34.2,28.2,22.2
e85b2f3d-c9ca-4c8b-961c-d9a78b22954d,1,5,13,22,0,0,0,2,0,0,4,0,0.0,0,28,1,4.0,6.0,32.9,26.4,19.9
ede7bf8b-d5c8-4efe-beca-891efd5182af,0,0,0,0,0,0,0,0,2,0,0,0,3.0,0,36,3,6.0,23.0,60.900000000000006,47.900000000000006,34.900000000000006
