game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
9c9fb62d-5350-49a8-8be1-ef614a1fd2de,304,16.643,4,3,2,23,47,35,8,28,44,3,466,162,21,92.6,64.6,78.6
51923306-5934-45db-b49b-02c77bebff0e,120,11.857,1,3,3,15,32,2,1,21,29,1,249,129,33,51.900000000000006,30.900000000000002,41.400000000000006
2871c33a-b958-44c0-a690-a4ffceb7972a,157,15.04,3,0,0,16,68,68,6,25,28,5,376,219,53,92.6,67.6,80.1
8899218a-fdf9-4e16-b7b9-fd4cd10b86f1,148,11.28,2,0,0,12,23,11,5,25,34,1,282,134,26,59.2,34.2,46.7
dc105cfb-5e42-4b1a-b57f-7cd822fe4c13,73,14.0,0,0,0,14,69,69,6,22,28,2,308,235,25,64.8,42.8,53.8
98e64983-4460-4ead-8490-73124bb9f25f,138,12.476,3,1,1,14,47,41,5,21,30,3,262,124,36,65.2,44.2,54.7
7b2da75e-2f9e-4a6a-ba4c-ba6d98ac32d2,164,9.391,0,2,2,9,29,27,1,23,32,1,216,52,4,50.6,27.6,39.1
94d238aa-f794-4c2e-beb2-66155c9b5cb0,179,10.8,2,3,3,17,42,42,9,30,44,3,324,145,22,80.4,50.4,65.4
a5bcd714-9e0f-4732-83ef-277c70a60c39,121,9.19,0,3,3,11,31,31,0,21,33,1,193,72,3,46.3,25.3,35.8
a03a8c20-a355-48a5-85f1-cdf446305709,179,11.607,4,1,1,12,38,38,5,28,36,2,325,146,26,72.5,44.5,58.5
0133115f-86e4-46ee-b527-c793a1a1ebed,119,11.571,6,2,3,14,35,7,2,21,28,1,243,124,38,51.3,30.3,40.8
64ef040c-fbfd-4599-8d5f-0af7c00a6f67,103,14.895,4,1,1,10,78,78,1,19,25,2,283,180,50,59.3,40.3,49.8
a83301f9-7a05-4159-9a05-35a2cba4bc15,156,10.435,2,1,0,9,25,0,3,23,33,0,240,84,21,47.0,24.0,35.5
f8220a12-14c1-446d-bb37-a8e68112dfe9,64,9.913,0,0,0,9,60,60,2,23,26,1,228,164,44,51.8,28.8,40.3
36659169-5373-4de0-80ca-06ac24c283a6,197,12.208,0,1,1,16,50,4,6,24,36,1,293,96,23,59.3,35.3,47.3
e6a8076b-558c-47b1-9e53-f005894bf9af,122,10.773,0,3,3,13,25,8,5,22,36,2,237,115,41,57.7,35.7,46.7
b5c5afbb-0eff-4766-b3b6-6a948e27b347,127,10.176,0,1,1,9,24,3,2,17,27,1,173,46,4,40.3,23.3,31.8
c398b7c3-8d76-4437-b05e-cd6bb4d0febf,95,14.696,3,1,1,11,80,80,4,23,36,1,338,243,35,62.800000000000004,39.800000000000004,51.300000000000004
e85b2f3d-c9ca-4c8b-961c-d9a78b22954d,72,9.0,1,1,1,12,21,5,9,25,37,1,225,153,32,53.5,28.5,41.0
ede7bf8b-d5c8-4efe-beca-891efd5182af,71,8.235,0,0,0,6,22,0,6,17,26,0,140,69,0,31.0,14.0,22.5
