game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
110704e9-21f9-4ef8-ab83-df09573c1a9f,0,26,30,40,1,0,1,3,3,4,9,0,5.0,0,51,2,8.0,26.0,58.6,44.1,29.6
8836bca8-5cf0-490d-898d-628a2aeaa567,0,2,31,37,1,0,0,0,0,3,4,0,1.0,0,60,3,7.0,22.0,68.5,53.0,37.5
303f0fac-ec12-4ed9-803c-99eabe0a010d,1,4,15,27,0,0,0,3,0,5,2,0,0.0,0,49,3,2.0,2.0,41.1,33.6,26.1
aeb50a76-6411-46ce-98f0-189082122dce,0,6,18,30,0,0,0,10,2,7,17,0,1.0,1,39,1,4.0,9.0,44.3,35.3,26.3
ac792574-1d49-48e7-af5f-9cf618402d4d,0,10,20,28,2,0,2,3,0,3,7,0,4.0,1,34,4,7.0,33.0,51.6,41.6,31.6
6866131a-c15d-4b3c-9f15-aeff08d50e23,1,14,28,43,1,1,1,15,3,1,10,0,2.0,0,42,1,4.0,19.0,62.0,48.0,34.0
6569f839-673a-4aca-8447-fc7819d4ba68,2,10,6,12,0,0,0,3,0,3,11,0,4.0,0,50,10,13.0,32.0,6.7,3.7,0.7000000000000001
25d42cdf-c6e7-41a3-a725-de6f6cb772d0,3,5,16,28,2,0,0,3,0,7,8,0,5.0,0,30,5,4.0,17.0,29.6,21.6,13.600000000000001
e8d73abd-549f-4dbb-9775-6400369090b3,0,7,16,26,2,0,1,0,1,3,11,0,3.0,0,35,4,5.0,28.0,37.3,29.3,21.3
116f6230-d01f-40d5-901d-1baf79e4986a,0,6,20,30,1,0,0,2,1,3,2,0,1.0,0,46,1,7.0,26.0,65.5,55.5,45.5
0133115f-86e4-46ee-b527-c793a1a1ebed,0,2,21,28,0,1,1,1,2,0,10,0,2.0,0,40,0,2.0,11.0,51.3,40.8,30.3
c1d7d797-4187-45a5-ad40-54eacb7d6754,0,12,12,25,1,0,0,6,0,4,4,0,3.0,1,34,5,6.0,20.0,30.1,24.1,18.1
f9ec8c4b-2a60-409f-804a-bead8260e2a4,1,20,11,27,0,3,0,3,0,2,0,0,5.0,0,27,4,7.0,45.0,20.5,15.0,9.5
f8220a12-14c1-446d-bb37-a8e68112dfe9,0,4,22,26,0,0,0,1,0,1,7,0,3.0,0,41,3,8.0,22.0,51.8,40.3,28.8
aed5b2ec-ff34-419b-b159-fabab8a6cc73,1,2,16,35,0,0,0,0,2,2,1,0,1.0,0,31,5,3.0,7.0,37.6,29.6,21.6
9870e58e-bd39-4d57-a37c-08cfb9dcabbd,1,5,19,29,2,1,2,5,1,0,12,0,1.0,0,39,2,5.0,14.0,67.9,58.400000000000006,48.900000000000006
72f3d705-9973-4eab-9a5e-4b90201b6004,1,4,12,30,0,3,0,3,2,3,3,0,7.0,0,30,7,8.0,59.0,20.8,14.8,8.8
c2439713-3b07-42c2-af80-82e6697e2730,0,14,19,31,0,0,0,4,0,1,10,0,3.0,0,49,1,3.0,12.0,42.1,32.6,23.1
d764263c-4cec-44ad-b1fe-e6ec23f15a0c,0,5,19,27,1,1,1,0,1,2,12,0,4.0,0,45,5,6.0,18.0,44.2,34.7,25.200000000000003
98935085-9819-48f6-a23f-da2393e8858d,0,12,16,27,1,0,1,2,0,5,1,0,7.0,0,28,2,5.0,39.0,28.0,20.0,12.0
