game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
110704e9-21f9-4ef8-ab83-df09573c1a9f,48,10.0,1,0,0,7,24,3,1,14,18,1,140,92,25,34.0,20.0,27.0
8836bca8-5cf0-490d-898d-628a2aeaa567,80,14.167,1,3,3,6,68,68,1,12,25,1,170,90,62,35.0,23.0,29.0
303f0fac-ec12-4ed9-803c-99eabe0a010d,84,8.722,1,2,2,6,29,0,3,18,28,0,157,73,25,33.7,15.700000000000001,24.700000000000003
aeb50a76-6411-46ce-98f0-189082122dce,181,8.75,0,2,2,12,39,10,5,28,39,2,245,64,7,64.5,36.5,50.5
ac792574-1d49-48e7-af5f-9cf618402d4d,91,10.474,2,2,2,10,37,0,6,19,26,0,199,108,39,38.900000000000006,19.900000000000002,29.400000000000002
6866131a-c15d-4b3c-9f15-aeff08d50e23,90,9.789,0,3,3,9,33,0,3,19,33,0,186,96,33,37.6,18.6,28.1
6569f839-673a-4aca-8447-fc7819d4ba68,123,14.118,2,2,2,8,50,50,0,17,34,1,240,117,80,47.0,30.0,38.5
25d42cdf-c6e7-41a3-a725-de6f6cb772d0,145,7.97,4,3,3,12,33,0,3,33,48,0,263,118,27,59.3,26.3,42.8
e8d73abd-549f-4dbb-9775-6400369090b3,114,11.435,2,2,2,11,41,0,1,23,37,0,263,149,19,49.3,26.3,37.8
116f6230-d01f-40d5-901d-1baf79e4986a,51,8.8,2,4,4,8,18,9,2,15,28,1,132,81,30,34.2,19.200000000000003,26.700000000000003
0133115f-86e4-46ee-b527-c793a1a1ebed,67,6.63,5,1,1,9,13,1,3,27,36,1,179,112,39,50.900000000000006,23.900000000000002,37.400000000000006
c1d7d797-4187-45a5-ad40-54eacb7d6754,133,11.263,2,1,1,9,36,0,2,19,36,0,214,81,26,40.400000000000006,21.400000000000002,30.900000000000002
f9ec8c4b-2a60-409f-804a-bead8260e2a4,163,11.148,2,1,1,15,27,15,3,27,35,2,301,138,44,69.1,42.1,55.6
f8220a12-14c1-446d-bb37-a8e68112dfe9,74,7.556,0,0,0,9,21,0,0,18,33,0,136,62,23,31.6,13.600000000000001,22.6
aed5b2ec-ff34-419b-b159-fabab8a6cc73,21,8.037,0,0,0,12,16,8,10,27,45,1,217,196,60,54.7,27.700000000000003,41.2
9870e58e-bd39-4d57-a37c-08cfb9dcabbd,106,8.156,7,2,1,10,24,21,2,32,44,1,261,155,41,64.1,32.1,48.1
72f3d705-9973-4eab-9a5e-4b90201b6004,20,8.75,0,1,1,3,30,0,4,8,18,0,70,50,3,15.0,7.0,11.0
c2439713-3b07-42c2-af80-82e6697e2730,86,10.684,1,1,2,11,36,36,6,19,29,2,203,117,44,51.3,32.3,41.8
d764263c-4cec-44ad-b1fe-e6ec23f15a0c,80,9.778,2,3,3,9,26,26,3,18,29,2,176,96,33,47.6,29.6,38.6
98935085-9819-48f6-a23f-da2393e8858d,129,10.407,0,2,2,16,27,10,6,27,34,2,281,152,88,67.1,40.1,53.6
