game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
88b69b59-d7b9-4572-84d8-6ec00f9af626,113,10.762,6,6,5,10,34,4,5,21,37,2,226,113,35,55.6,34.6,45.1
f9966c0e-a62f-49f4-8ed8-11eb088e8f2d,126,10.517,5,3,2,12,54,9,4,29,40,2,305,179,35,71.5,42.5,57.0
9e665e5b-0ab8-4ccd-a6ac-2a4d13afba63,177,11.222,1,4,4,16,37,6,11,27,37,3,303,126,25,75.3,48.3,61.8
aeb50a76-6411-46ce-98f0-189082122dce,64,11.278,2,2,2,9,34,34,4,18,29,1,203,139,23,44.3,26.3,35.3
f5a05fb8-5fce-47f2-bd0c-8ab61d7c86f4,133,9.065,1,1,1,15,33,8,5,31,39,2,281,148,34,71.1,40.1,55.6
eb4c2dca-b464-42a9-ba46-b5546e1cb9c3,98,10.2,1,2,2,14,40,3,7,30,39,1,306,208,26,66.6,36.6,51.6
1ba76f67-8356-45b2-884e-f45185a26dba,186,13.25,1,3,3,21,53,46,5,32,40,4,424,238,6,98.4,66.4,82.4
2148ee07-5ef0-4225-ab7b-7e90828916cb,86,10.0,0,5,5,12,39,0,3,24,37,0,240,154,22,48.0,24.0,36.0
a5bcd714-9e0f-4732-83ef-277c70a60c39,69,9.25,1,0,1,11,25,17,3,20,28,2,185,116,30,50.5,30.5,40.5
5eedbc61-0130-459e-a640-efcc30708407,105,7.375,1,3,3,10,17,4,4,24,39,2,177,72,25,53.7,29.7,41.7
e80738f3-d456-4d00-991d-580cbc993a1b,94,11.037,0,2,2,17,39,39,5,27,32,2,298,204,64,68.8,41.8,55.3
c3184f83-079a-4a79-a4d9-d1f31b9d2de7,78,10.0,0,2,2,13,27,2,4,21,30,1,210,132,34,48.0,27.0,37.5
8f11c18a-3ed1-40f3-94c5-7aca9fb9de47,113,10.84,3,2,2,14,23,4,6,25,39,1,271,158,31,58.1,33.1,45.6
5a0811de-acf0-48ae-8983-b84e830589b8,95,11.036,2,3,3,15,48,8,10,28,35,3,309,214,72,76.9,48.900000000000006,62.900000000000006
ced4e00a-4097-4394-8541-091bd7e86498,40,8.786,2,2,2,11,45,7,7,28,41,1,246,206,88,58.6,30.6,44.6
0f0e40a3-a40e-4630-9956-739cd9355569,81,11.667,2,1,1,10,67,8,4,21,28,1,245,164,20,51.5,30.5,41.0
b1dd2898-3bcc-4f34-a3d9-b09225cf0f82,45,10.267,3,5,4,6,37,0,1,15,29,0,154,109,53,30.4,15.4,22.9
ebb5f3ac-bb13-4dc4-ab8b-6c65623eac13,103,14.55,2,2,2,15,35,35,4,20,27,1,291,188,55,55.1,35.1,45.1
838f17cb-62bb-4d0f-9a73-a611ece48ca8,22,8.389,0,0,0,7,44,44,4,18,23,2,151,129,8,45.1,27.1,36.1
9dd70a44-8ff4-499c-9119-de3c4854537f,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
