game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
110704e9-21f9-4ef8-ab83-df09573c1a9f,0,5,15,19,1,0,0,4,1,4,8,0,3.0,0,36,1,7.0,32.0,34.0,27.0,20.0
475473bd-aa3b-48d2-ab10-7778e5b52421,1,1,16,24,1,0,1,0,2,2,2,0,0.0,0,26,2,3.0,8.0,40.5,32.5,24.5
b993e54b-47f5-47c0-92b3-e5c325cbce66,1,13,20,30,1,1,1,0,4,6,8,0,9.0,0,30,2,10.0,39.0,36.0,26.5,17.0
8899218a-fdf9-4e16-b7b9-fd4cd10b86f1,2,7,21,31,2,3,1,5,1,5,10,0,4.0,0,42,3,5.0,33.0,59.2,46.7,34.2
f2bb9067-f889-4366-9f4d-b882dbcb5180,4,20,25,37,3,0,2,7,0,4,18,0,5.0,0,56,2,5.0,11.0,62.5,50.0,37.5
e8b3ce79-bafd-4354-9181-2d7b9df89d23,0,15,24,31,0,1,0,5,0,3,0,0,3.0,0,51,3,9.0,28.0,44.0,32.0,20.0
c5f826f9-7f92-401a-b3b5-c4f7743c6d24,1,20,26,31,0,0,1,1,0,3,7,0,1.0,0,42,1,5.0,13.0,64.2,51.7,39.2
fd9f7b9c-cea0-442d-b538-35d039772dfb,2,12,25,40,0,0,0,3,0,7,8,0,3.0,0,36,3,3.0,13.0,60.7,48.2,35.7
647d4013-1c0e-489c-bd79-56ab9c409ee2,2,19,31,43,0,1,0,0,0,5,3,0,1.0,0,40,1,4.0,10.0,77.80000000000001,62.300000000000004,46.800000000000004
d76e1ced-576d-4915-ac04-f1893772864c,0,20,24,29,1,0,1,5,0,3,6,0,4.0,0,51,2,3.0,12.0,55.3,43.3,31.3
116f6230-d01f-40d5-901d-1baf79e4986a,0,10,15,28,1,1,1,3,2,1,2,0,6.0,0,33,2,5.0,37.0,34.2,26.700000000000003,19.200000000000003
836211c3-a784-44d9-a704-3fc0c7364855,2,6,18,31,0,0,1,1,1,0,5,0,2.0,0,41,4,5.0,13.0,56.0,47.0,38.0
8f11c18a-3ed1-40f3-94c5-7aca9fb9de47,2,12,25,39,1,1,1,3,1,6,8,0,1.0,0,31,2,1.0,2.0,58.1,45.6,33.1
96053ae2-93e8-41d6-bdab-0d1c27eacbcb,1,9,21,32,0,1,0,0,1,3,2,0,3.0,0,36,2,4.0,23.0,34.4,23.9,13.4
fd64785d-5a73-4a12-8ca7-6ffe8233cf2b,0,18,24,34,0,0,0,2,0,1,6,0,5.0,0,51,1,7.0,46.0,44.5,33.0,21.5
8c86168a-dd76-4b4d-b719-1e584922248a,0,16,16,24,1,0,1,1,3,4,4,0,3.0,0,37,3,6.0,22.0,36.900000000000006,28.900000000000002,20.900000000000002
b5c5afbb-0eff-4766-b3b6-6a948e27b347,0,3,17,27,0,0,0,6,2,2,4,0,1.0,0,26,3,4.0,15.0,40.3,31.8,23.3
5c57f5bf-6247-419d-ac40-669596c8e875,1,10,21,37,1,1,1,4,0,2,6,0,4.0,0,43,2,4.0,16.0,43.2,32.7,22.2
e85b2f3d-c9ca-4c8b-961c-d9a78b22954d,0,2,26,45,0,4,0,0,3,3,2,0,2.0,0,52,1,10.0,31.0,53.5,41.0,28.5
