game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
110704e9-21f9-4ef8-ab83-df09573c1a9f,104,8.138,3,0,0,11,26,5,2,29,39,1,236,132,49,58.6,29.6,44.1
475473bd-aa3b-48d2-ab10-7778e5b52421,121,8.839,0,1,1,17,40,11,11,31,36,3,274,153,25,76.4,45.400000000000006,60.900000000000006
b993e54b-47f5-47c0-92b3-e5c325cbce66,141,10.9,6,3,3,10,35,35,3,20,32,1,218,77,14,47.8,27.8,37.8
8899218a-fdf9-4e16-b7b9-fd4cd10b86f1,157,15.238,5,0,0,14,55,55,4,21,25,4,320,163,99,77.0,56.0,66.5
f2bb9067-f889-4366-9f4d-b882dbcb5180,289,13.296,0,4,4,13,48,19,3,27,36,2,359,70,3,74.9,47.9,61.4
e8b3ce79-bafd-4354-9181-2d7b9df89d23,101,8.895,0,2,2,12,28,15,3,19,29,2,169,68,10,47.900000000000006,28.900000000000002,38.400000000000006
c5f826f9-7f92-401a-b3b5-c4f7743c6d24,142,9.815,1,1,1,14,28,25,6,27,39,2,265,123,59,65.5,38.5,52.0
fd9f7b9c-cea0-442d-b538-35d039772dfb,170,10.452,0,0,0,16,30,22,5,31,39,2,324,154,53,75.4,44.4,59.9
647d4013-1c0e-489c-bd79-56ab9c409ee2,117,9.923,1,1,0,11,34,17,4,26,32,1,258,141,29,57.8,31.8,44.8
d76e1ced-576d-4915-ac04-f1893772864c,94,11.8,4,4,4,6,38,22,0,15,25,1,177,83,40,38.7,23.7,31.2
116f6230-d01f-40d5-901d-1baf79e4986a,85,13.75,2,4,4,10,81,81,3,20,29,3,275,190,57,65.5,45.5,55.5
836211c3-a784-44d9-a704-3fc0c7364855,194,11.69,2,3,3,15,31,13,4,29,49,2,339,145,23,74.9,45.9,60.4
8f11c18a-3ed1-40f3-94c5-7aca9fb9de47,86,10.13,2,2,2,12,27,25,3,23,36,1,233,147,13,52.3,29.3,40.8
96053ae2-93e8-41d6-bdab-0d1c27eacbcb,47,13.429,1,3,3,5,24,18,2,7,13,1,94,47,26,22.4,15.4,18.9
fd64785d-5a73-4a12-8ca7-6ffe8233cf2b,154,15.8,0,0,0,11,57,57,0,15,21,1,237,83,9,44.7,29.700000000000003,37.2
8c86168a-dd76-4b4d-b719-1e584922248a,108,11.267,1,3,3,8,51,0,4,15,28,0,169,61,17,31.900000000000002,16.900000000000002,24.400000000000002
b5c5afbb-0eff-4766-b3b6-6a948e27b347,223,11.967,1,1,1,14,46,6,5,30,37,2,359,136,20,77.9,47.9,62.9
5c57f5bf-6247-419d-ac40-669596c8e875,107,12.889,1,0,0,11,28,11,4,18,23,2,232,125,27,53.2,35.2,44.2
e85b2f3d-c9ca-4c8b-961c-d9a78b22954d,53,10.692,2,0,0,5,33,17,1,13,18,1,139,86,26,32.9,19.9,26.4
