game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
67727342-163e-40ad-9231-c967a1963fd0,86,9.0,4,1,2,12,23,20,4,24,36,1,216,130,51,51.6,27.6,39.6
06d861af-db7b-4dd0-a916-e91f5c74e2c3,100,13.188,1,2,1,9,33,20,0,16,28,1,211,111,26,43.1,27.1,35.1
9e665e5b-0ab8-4ccd-a6ac-2a4d13afba63,59,9.0,1,1,1,5,29,9,5,11,20,1,99,40,16,26.9,15.9,21.4
fe8484a3-0a70-4621-bb24-7aa1ff706654,205,11.964,0,1,1,17,29,29,2,28,32,4,335,130,31,85.5,57.5,71.5
7af57f0d-1db1-4790-a929-07547d3b4c7c,125,18.8,2,0,0,9,58,56,5,15,25,4,282,157,49,67.2,52.2,59.7
f1946916-a87b-4d44-a60a-407e25397040,75,8.813,1,1,1,8,39,0,1,16,24,0,141,66,16,30.1,14.100000000000001,22.1
86a7972f-f3bf-452a-a808-66d484851f4a,51,7.714,3,3,3,10,17,5,7,21,29,1,162,111,27,43.2,22.2,32.7
d457fa6f-aa5e-4923-a683-b723a0cee085,117,9.28,2,2,2,10,41,0,4,25,37,0,232,115,40,48.2,23.200000000000003,35.7
7d46cf07-8a9d-40c7-84bf-7c6b98047f2c,82,12.222,0,0,0,13,38,18,3,18,26,2,220,138,0,52.0,34.0,43.0
4bed48a6-a6ba-4dfb-aaf5-6a656012f011,61,8.1,1,1,1,10,16,0,3,20,32,0,162,101,46,36.2,16.2,26.2
7b90aa8c-0c4b-485e-b747-60a7a02c6009,122,10.563,3,0,0,10,39,39,1,16,22,1,169,47,27,38.900000000000006,22.900000000000002,30.900000000000002
fc1105aa-9391-42b9-a59f-0b8879642cde,54,8.037,1,0,0,12,36,0,1,27,32,0,217,163,41,48.7,21.700000000000003,35.2
b1aaf072-e11f-44e0-81a2-b01f005065b6,130,11.737,1,3,3,10,41,38,6,19,30,1,223,93,18,47.3,28.3,37.8
f7d26865-09cf-497d-95ab-f8db2025c87a,70,8.737,4,2,2,6,30,5,2,19,35,1,166,96,21,41.6,22.6,32.1
2aaece03-c4c4-4c07-9835-3c523cec2925,135,11.333,1,1,1,8,53,1,3,15,23,1,170,35,11,38.0,23.0,30.5
2cf8bd20-e45b-480b-93da-4d9c1d4423e4,136,13.4,4,1,1,12,32,7,6,20,30,1,268,132,37,52.8,32.8,42.8
2001a9fe-f673-49c4-a37f-1c7f9dc8f1ee,92,13.455,0,0,0,8,33,0,3,11,16,0,148,56,14,25.8,14.8,20.3
23917ea9-a8f3-4742-aaa6-4c92cb4d27e6,45,6.643,1,1,1,5,13,0,3,14,29,0,93,48,14,23.3,9.3,16.3
53b5505f-2e66-48dc-a2ca-43288ea06f71,43,7.565,3,2,2,7,27,0,1,23,34,0,174,131,46,40.400000000000006,17.400000000000002,28.900000000000002
157cc59e-9fe1-4f43-9d5c-6491f9c223a1,243,11.0,0,0,0,18,47,6,10,33,48,2,363,120,0,81.30000000000001,48.300000000000004,64.80000000000001
