game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
bf8bf897-a90f-4b1e-a993-d1982d1aeb0a,0,0,25,33,0,0,0,2,0,0,1,0,2.0,0,38,1,7.0,26.0,56.7,43.2,29.7
475473bd-aa3b-48d2-ab10-7778e5b52421,0,17,31,36,0,1,0,1,0,1,12,0,2.0,0,51,1,4.0,14.0,76.4,60.900000000000006,45.400000000000006
8c138263-1dc1-4e28-96ee-21158684cd55,0,6,16,28,0,0,0,2,0,4,7,0,1.0,0,35,4,5.0,17.0,51.5,43.5,35.5
2039b2f6-1e7e-4b04-a748-9c16c1685147,1,5,16,30,0,1,0,3,1,3,8,0,2.0,0,41,3,5.0,25.0,35.7,29.2,22.7
0a8d8f54-a2c6-42ea-a7a8-c04077bf15ba,0,3,16,29,0,0,0,4,3,0,4,0,2.0,0,30,2,5.0,18.0,34.2,26.2,18.2
31c79ef7-b632-4ee0-9da4-6d4bd400867b,1,9,24,32,0,0,0,3,1,0,3,0,4.0,1,36,3,3.0,20.0,44.0,32.0,20.0
86a7972f-f3bf-452a-a808-66d484851f4a,1,8,28,37,1,1,0,0,0,1,8,0,2.0,0,38,2,3.0,9.0,43.2,32.7,22.2
121b662e-307d-47d2-a2db-9f383ffb0e3a,2,5,26,34,2,0,2,8,1,4,11,0,1.0,0,50,1,4.0,17.0,59.2,46.2,33.2
b1024e2b-bd0b-4c16-8ac8-42616be1ce79,0,17,21,32,1,4,0,0,2,1,2,0,8.0,0,42,3,8.0,40.0,45.0,35.5,26.0
e8d73abd-549f-4dbb-9775-6400369090b3,0,10,23,38,1,0,0,0,1,4,10,0,2.0,0,39,3,2.0,2.0,49.3,37.8,26.3
a03a8c20-a355-48a5-85f1-cdf446305709,1,4,28,36,2,1,2,2,1,2,7,0,1.0,0,46,2,3.0,8.0,72.5,58.5,44.5
e80738f3-d456-4d00-991d-580cbc993a1b,0,0,27,34,0,0,0,0,0,1,3,0,1.0,0,39,2,3.0,19.0,68.8,55.3,41.8
88d49c99-0da4-4502-81d2-6def83bb058a,0,11,19,35,0,0,0,1,0,6,5,0,5.0,0,48,3,9.0,59.0,33.6,24.1,14.600000000000001
f7ea44fb-336b-4b4e-a369-70f9ef56174d,1,10,24,31,4,1,3,4,1,2,8,0,3.0,0,40,3,3.0,12.0,66.7,55.2,43.7
ced4e00a-4097-4394-8541-091bd7e86498,0,2,27,41,1,2,1,2,1,6,2,0,4.0,0,47,3,7.0,26.0,58.6,44.6,30.6
24d215ce-b2b6-440c-88ef-30a6049bf47e,0,10,15,22,1,0,0,4,0,1,5,0,1.0,0,34,2,3.0,12.0,43.400000000000006,35.900000000000006,28.400000000000002
7d1dfaee-8c3a-46f3-abbf-f3c8c3967c0d,0,5,20,32,0,1,0,2,1,6,9,0,5.0,0,32,2,8.0,40.0,53.2,43.2,33.2
5b52c29c-46c1-4747-b452-cb06d54551ad,0,13,17,25,0,0,0,1,0,4,11,0,1.0,0,30,5,2.0,5.0,37.4,28.9,20.4
35e4b92e-58ec-4042-bca5-16433b0f8135,2,10,21,31,0,0,0,2,1,0,13,0,2.0,0,41,4,5.0,22.0,51.7,41.2,30.700000000000003
ad0abcf7-2ac4-4f3b-a5b4-bd55791be149,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,39,2,3.0,10.0,75.9,62.900000000000006,49.900000000000006
