game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
bf8bf897-a90f-4b1e-a993-d1982d1aeb0a,138,10.0,1,0,0,11,21,6,5,20,26,2,200,62,28,52.0,32.0,42.0
475473bd-aa3b-48d2-ab10-7778e5b52421,121,11.563,0,1,0,10,23,16,1,16,23,1,185,64,9,40.5,24.5,32.5
8c138263-1dc1-4e28-96ee-21158684cd55,237,11.571,1,1,1,12,32,32,6,28,44,2,324,87,10,72.4,44.4,58.4
2039b2f6-1e7e-4b04-a748-9c16c1685147,104,9.917,1,2,2,12,25,0,8,24,38,0,238,134,37,47.8,23.8,35.8
0a8d8f54-a2c6-42ea-a7a8-c04077bf15ba,82,9.455,0,0,0,13,21,9,5,22,29,1,208,126,35,48.8,26.8,37.8
31c79ef7-b632-4ee0-9da4-6d4bd400867b,181,13.2,0,1,1,12,48,12,6,20,31,1,264,83,26,52.400000000000006,32.400000000000006,42.400000000000006
86a7972f-f3bf-452a-a808-66d484851f4a,117,7.556,0,1,1,16,15,9,8,27,45,1,204,87,31,53.400000000000006,26.400000000000002,39.900000000000006
121b662e-307d-47d2-a2db-9f383ffb0e3a,56,12.6,1,3,3,6,19,0,0,10,21,0,126,70,23,22.6,12.600000000000001,17.6
b1024e2b-bd0b-4c16-8ac8-42616be1ce79,87,13.063,1,1,1,9,50,0,2,16,24,0,209,122,36,36.900000000000006,20.900000000000002,28.900000000000002
e8d73abd-549f-4dbb-9775-6400369090b3,70,9.563,4,1,1,7,42,7,1,16,25,1,153,83,17,37.3,21.3,29.3
a03a8c20-a355-48a5-85f1-cdf446305709,170,11.292,2,1,2,10,46,46,2,24,38,1,271,101,44,57.1,33.1,45.1
e80738f3-d456-4d00-991d-580cbc993a1b,103,10.783,0,2,2,12,33,18,2,23,32,1,248,145,36,53.8,30.8,42.3
88d49c99-0da4-4502-81d2-6def83bb058a,51,8.143,2,1,1,5,38,0,1,21,29,0,171,120,15,38.1,17.1,27.6
f7ea44fb-336b-4b4e-a369-70f9ef56174d,165,11.818,1,0,0,13,30,30,7,22,34,5,260,95,39,78.0,56.0,67.0
ced4e00a-4097-4394-8541-091bd7e86498,25,6.889,0,4,4,3,21,0,4,9,19,0,62,37,11,15.2,6.2,10.7
24d215ce-b2b6-440c-88ef-30a6049bf47e,187,9.967,4,1,1,19,24,4,7,30,46,2,299,112,49,71.9,41.900000000000006,56.900000000000006
7d1dfaee-8c3a-46f3-abbf-f3c8c3967c0d,161,12.2,4,1,1,12,47,33,6,20,27,2,244,83,40,56.400000000000006,36.400000000000006,46.400000000000006
5b52c29c-46c1-4747-b452-cb06d54551ad,119,10.28,5,0,0,12,33,31,0,25,32,1,257,138,70,56.7,31.700000000000003,44.2
35e4b92e-58ec-4042-bca5-16433b0f8135,153,9.2,2,1,1,14,30,1,3,30,36,1,276,123,36,63.6,33.6,48.6
ad0abcf7-2ac4-4f3b-a5b4-bd55791be149,96,11.889,0,0,0,10,54,13,2,18,26,1,214,118,0,45.400000000000006,27.400000000000002,36.400000000000006
