game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
2cc52209-4aae-43e5-9c25-65407907a01b,1,0,21,32,3,2,1,1,1,1,7,0,2.0,0,47,4,7.0,16.0,60.1,48.1,36.1
1019abc3-1b91-4bae-a733-37553104838d,0,15,30,43,1,0,1,10,0,3,6,0,6.0,0,52,1,10.0,58.0,80.4,65.4,50.400000000000006
097a36e8-c61c-4b76-b415-e6dc2da98d00,0,17,22,30,3,1,2,2,0,0,15,0,4.0,0,51,5,6.0,21.0,42.2,31.200000000000003,20.200000000000003
170250b1-26b1-44ad-8e93-be76305ac667,1,15,27,39,1,0,0,2,1,6,3,0,2.0,0,52,1,4.0,12.0,64.9,51.400000000000006,37.900000000000006
3751d242-c51f-46f0-8b80-8acd0ea64554,1,2,23,34,0,1,0,0,1,4,5,0,1.0,0,34,1,1.0,6.0,49.400000000000006,37.900000000000006,26.400000000000002
e6c053eb-19b2-4a91-b810-a823df216bda,0,5,20,30,0,0,0,0,1,2,1,0,3.0,0,38,3,11.0,56.0,50.1,40.1,30.1
c64a803d-9681-425e-bd4b-8c9423f8e6a9,1,18,16,35,0,1,0,5,2,6,1,0,2.0,0,40,4,9.0,39.0,34.3,26.3,18.3
12db1871-7157-431e-81ee-0ab0394d29d0,0,11,20,29,1,0,1,0,0,1,5,0,1.0,0,43,0,3.0,5.0,67.4,57.4,47.4
bac639e2-d391-4483-acf8-18d77185f243,2,4,25,37,1,1,0,1,3,2,6,0,4.0,0,50,3,4.0,30.0,47.3,35.3,23.3
d468f3aa-b44f-4bd7-9289-20b2b9578d8a,0,4,17,25,1,0,0,2,2,4,5,0,5.0,0,54,2,6.0,26.0,37.5,28.5,19.5
6c37caee-72d0-4eab-9fc5-a11155504d39,2,5,20,30,1,0,1,2,1,1,2,0,6.0,0,33,2,3.0,12.0,51.900000000000006,41.900000000000006,31.900000000000002
92503fb3-b59c-4c54-a639-fa88067a3e17,0,16,16,33,3,1,2,0,0,5,7,0,6.0,0,51,4,5.0,16.0,44.400000000000006,36.400000000000006,28.400000000000002
63826426-2bfc-4092-be72-0e217ae59945,1,2,19,25,0,0,0,0,1,3,6,0,0.0,0,42,2,5.0,17.0,58.400000000000006,48.900000000000006,39.400000000000006
960b80c5-f160-46ee-8817-97f860b5f12b,1,1,18,26,1,1,1,0,2,3,5,0,4.0,0,33,2,5.0,26.0,41.2,32.2,23.2
42375c35-091a-4e0b-9b8d-fe07ef05cdcd,1,5,23,32,0,0,0,1,0,2,10,0,1.0,0,44,2,6.0,18.0,51.900000000000006,40.400000000000006,28.900000000000002
24d215ce-b2b6-440c-88ef-30a6049bf47e,0,11,28,46,0,0,0,3,0,2,8,0,2.0,0,41,1,4.0,17.0,71.9,56.900000000000006,41.900000000000006
756d6c29-6376-4953-868c-1218129489c8,0,4,20,26,0,1,0,0,0,2,7,0,2.0,1,33,2,5.0,45.0,58.400000000000006,48.400000000000006,38.400000000000006
31aef49d-6364-49a6-afc0-b634a2d8c319,0,10,23,31,0,0,0,6,0,4,7,0,4.0,0,54,1,4.0,22.0,59.400000000000006,47.400000000000006,35.400000000000006
757b08bc-60d5-4863-be18-9f15871c0cab,0,7,12,14,1,0,1,1,0,0,7,0,0.0,0,55,2,6.0,17.0,30.200000000000003,24.200000000000003,18.200000000000003
157cc59e-9fe1-4f43-9d5c-6491f9c223a1,0,0,0,0,1,1,1,0,2,0,0,0,4.0,0,48,1,7.0,35.0,81.30000000000001,64.80000000000001,48.300000000000004
