game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
2cc52209-4aae-43e5-9c25-65407907a01b,87,9.292,2,2,2,12,39,39,5,24,39,1,223,136,14,52.3,28.3,40.3
1019abc3-1b91-4bae-a733-37553104838d,90,9.08,1,1,1,13,43,4,3,25,31,1,227,137,32,53.7,28.700000000000003,41.2
097a36e8-c61c-4b76-b415-e6dc2da98d00,133,8.407,1,5,4,9,34,17,5,27,42,1,227,94,29,55.7,28.700000000000003,42.2
170250b1-26b1-44ad-8e93-be76305ac667,144,18.182,0,3,3,10,38,35,2,11,24,2,200,56,13,43.0,32.0,37.5
3751d242-c51f-46f0-8b80-8acd0ea64554,112,12.65,2,0,0,12,38,0,2,20,24,0,253,141,35,45.3,25.3,35.3
e6c053eb-19b2-4a91-b810-a823df216bda,151,9.97,0,2,2,14,45,2,8,33,52,1,329,178,53,71.9,38.9,55.4
c64a803d-9681-425e-bd4b-8c9423f8e6a9,134,20.333,3,1,1,11,75,75,3,15,22,2,305,171,72,57.5,42.5,50.0
12db1871-7157-431e-81ee-0ab0394d29d0,136,9.261,1,2,2,10,33,33,4,23,38,2,213,77,11,56.3,33.3,44.8
bac639e2-d391-4483-acf8-18d77185f243,52,7.471,2,0,0,7,19,10,2,17,24,1,127,75,15,35.7,18.700000000000003,27.200000000000003
d468f3aa-b44f-4bd7-9289-20b2b9578d8a,137,10.778,1,0,0,8,30,0,1,18,26,0,194,57,15,37.400000000000006,19.400000000000002,28.400000000000002
6c37caee-72d0-4eab-9fc5-a11155504d39,119,10.458,0,4,4,13,30,0,6,24,40,0,251,132,33,49.1,25.1,37.1
92503fb3-b59c-4c54-a639-fa88067a3e17,183,12.0,0,1,1,10,55,36,5,26,41,2,312,129,37,69.2,43.2,56.2
63826426-2bfc-4092-be72-0e217ae59945,130,9.231,0,3,3,14,31,2,1,26,38,1,240,110,7,56.0,30.0,43.0
960b80c5-f160-46ee-8817-97f860b5f12b,104,11.944,1,2,2,8,42,18,10,18,27,3,215,111,31,57.5,39.5,48.5
42375c35-091a-4e0b-9b8d-fe07ef05cdcd,128,10.05,0,4,4,14,18,0,0,20,35,0,201,73,22,40.1,20.1,30.1
24d215ce-b2b6-440c-88ef-30a6049bf47e,99,14.933,2,2,2,7,58,58,0,15,20,1,224,125,26,43.400000000000006,28.400000000000002,35.900000000000006
756d6c29-6376-4953-868c-1218129489c8,80,10.846,1,1,1,6,28,0,2,13,23,0,141,61,40,27.1,14.100000000000001,20.6
31aef49d-6364-49a6-afc0-b634a2d8c319,161,23.556,1,0,0,4,60,60,1,9,19,2,212,51,12,42.2,33.2,37.7
757b08bc-60d5-4863-be18-9f15871c0cab,130,12.0,0,1,1,10,30,4,3,17,31,1,204,74,14,43.400000000000006,26.400000000000002,34.900000000000006
157cc59e-9fe1-4f43-9d5c-6491f9c223a1,69,16.7,0,0,0,4,44,0,1,10,18,0,167,98,0,26.7,16.7,21.7
