game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
7fa08811-7cf6-4f09-a3b6-f35e91ab055e,1,21,22,32,1,1,1,10,0,1,7,0,3.0,0,35,4,3.0,17.0,45.0,34.0,23.0
51923306-5934-45db-b49b-02c77bebff0e,0,21,22,30,0,0,0,0,1,1,6,0,1.0,0,40,3,5.0,11.0,51.900000000000006,41.400000000000006,30.900000000000002
303f0fac-ec12-4ed9-803c-99eabe0a010d,1,22,18,28,1,1,0,8,0,5,2,0,3.0,1,36,6,7.0,36.0,33.7,24.700000000000003,15.700000000000001
6b84f1cd-1001-458f-81ae-3789bd4c5b8b,1,26,30,36,2,1,0,0,0,4,7,0,3.0,0,47,1,6.0,37.0,64.1,49.1,34.1
dbd2e6d3-4468-4e26-a4b4-548beae97ffd,0,18,18,25,0,0,0,1,0,0,4,0,2.0,0,43,4,2.0,15.0,48.3,39.3,30.3
31c79ef7-b632-4ee0-9da4-6d4bd400867b,2,30,20,31,0,0,0,0,1,3,3,0,0.0,0,41,1,2.0,3.0,52.400000000000006,42.400000000000006,32.400000000000006
c5f826f9-7f92-401a-b3b5-c4f7743c6d24,0,45,27,39,1,1,1,8,1,5,10,0,1.0,0,41,1,3.0,14.0,65.5,52.0,38.5
94d238aa-f794-4c2e-beb2-66155c9b5cb0,0,29,34,48,0,0,1,7,1,0,5,0,2.0,0,46,1,5.0,24.0,80.4,65.4,50.4
d13a3998-07a6-4fbb-b2d9-9092079b58a4,2,26,29,44,1,0,1,6,1,3,5,0,3.0,0,46,2,5.0,24.0,67.5,53.0,38.5
d468f3aa-b44f-4bd7-9289-20b2b9578d8a,2,10,18,26,0,0,0,4,1,1,3,0,0.0,0,34,2,3.0,9.0,37.400000000000006,28.400000000000002,19.400000000000002
710037c3-9ffd-47e5-9e47-9ec56f87ea94,2,21,17,24,1,0,1,3,0,0,1,0,6.0,0,33,3,7.0,29.0,42.1,33.6,25.1
e06640f6-dbdb-430c-b1a9-f398477a0f81,0,15,22,36,0,0,0,1,0,1,2,0,0.0,0,30,3,4.0,15.0,43.2,32.2,21.200000000000003
aa0f5109-cc6b-41b3-be37-b47d80e21e51,1,22,21,35,0,2,0,5,1,0,6,0,2.0,0,38,4,6.0,17.0,47.0,36.0,25.0
5a0811de-acf0-48ae-8983-b84e830589b8,0,12,28,35,1,1,0,3,2,0,3,0,3.0,0,40,2,5.0,31.0,76.9,62.900000000000006,48.900000000000006
7ad5a64d-1613-4dfe-bf15-59868304f1de,1,17,25,35,3,1,1,2,0,3,13,0,5.0,0,44,5,8.0,39.0,60.8,48.3,35.8
8c86168a-dd76-4b4d-b719-1e584922248a,0,15,15,28,2,0,0,1,1,3,5,0,1.0,0,43,2,3.0,9.0,31.900000000000002,24.400000000000002,16.900000000000002
72f3d705-9973-4eab-9a5e-4b90201b6004,1,22,8,18,0,1,0,3,0,4,7,0,1.0,0,35,6,6.0,22.0,15.0,11.0,7.0
5ce1f98c-3e49-455a-8b1a-327a1bb094ba,1,17,21,29,2,1,1,0,0,0,4,0,3.0,0,28,4,3.0,3.0,37.400000000000006,26.900000000000002,16.400000000000002
bec1fe73-463b-4eef-b1bf-7b074c658899,0,27,32,42,0,1,0,5,0,3,9,0,3.0,0,42,3,4.0,13.0,71.7,55.2,38.7
98935085-9819-48f6-a23f-da2393e8858d,0,8,27,39,1,0,0,0,0,2,6,0,2.0,0,49,0,5.0,24.0,67.1,53.6,40.1
