game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
7fa08811-7cf6-4f09-a3b6-f35e91ab055e,126,9.029,3,4,5,18,32,19,5,35,54,3,316,190,15,84.6,49.6,67.1
51923306-5934-45db-b49b-02c77bebff0e,131,7.452,3,0,0,10,14,6,2,31,42,1,231,100,38,60.1,29.1,44.6
303f0fac-ec12-4ed9-803c-99eabe0a010d,112,13.4,2,1,1,9,58,58,0,15,27,1,201,89,31,41.1,26.1,33.6
6b84f1cd-1001-458f-81ae-3789bd4c5b8b,134,12.938,0,1,1,8,42,0,1,16,29,0,207,73,23,36.7,20.700000000000003,28.700000000000003
dbd2e6d3-4468-4e26-a4b4-548beae97ffd,79,8.8,1,0,0,4,28,0,0,15,31,0,132,53,11,28.200000000000003,13.200000000000001,20.700000000000003
31c79ef7-b632-4ee0-9da4-6d4bd400867b,59,8.333,1,2,2,7,36,0,5,24,31,0,200,141,58,44.0,20.0,32.0
c5f826f9-7f92-401a-b3b5-c4f7743c6d24,102,10.88,1,0,0,13,34,4,5,25,30,2,272,170,56,64.2,39.2,51.7
94d238aa-f794-4c2e-beb2-66155c9b5cb0,78,8.474,1,1,1,7,24,24,5,19,28,2,161,83,12,47.1,28.1,37.6
d13a3998-07a6-4fbb-b2d9-9092079b58a4,96,9.167,0,3,3,13,20,14,1,24,43,1,220,124,12,52.0,28.0,40.0
d468f3aa-b44f-4bd7-9289-20b2b9578d8a,57,10.833,1,1,1,9,30,0,3,18,26,0,195,138,41,37.5,19.5,28.5
710037c3-9ffd-47e5-9e47-9ec56f87ea94,-6,6.81,1,3,3,8,19,0,0,21,35,0,143,149,25,35.3,14.3,24.8
e06640f6-dbdb-430c-b1a9-f398477a0f81,82,10.846,2,2,2,5,27,0,0,13,24,0,141,59,22,27.1,14.100000000000001,20.6
aa0f5109-cc6b-41b3-be37-b47d80e21e51,103,12.632,1,3,2,11,37,24,2,19,26,3,240,137,50,61.0,42.0,51.5
5a0811de-acf0-48ae-8983-b84e830589b8,85,7.826,2,0,0,9,20,16,2,23,31,1,180,95,28,47.0,24.0,35.5
7ad5a64d-1613-4dfe-bf15-59868304f1de,158,10.24,1,2,2,11,41,15,3,25,31,2,256,98,37,62.6,37.6,50.1
8c86168a-dd76-4b4d-b719-1e584922248a,104,13.063,0,0,0,8,48,0,0,16,24,0,209,105,18,36.900000000000006,20.900000000000002,28.900000000000002
72f3d705-9973-4eab-9a5e-4b90201b6004,36,7.333,0,0,0,3,33,0,2,12,29,0,88,52,1,20.8,8.8,14.8
5ce1f98c-3e49-455a-8b1a-327a1bb094ba,67,8.067,0,1,0,6,17,0,3,15,23,0,121,54,0,27.1,12.100000000000001,19.6
bec1fe73-463b-4eef-b1bf-7b074c658899,65,9.933,0,2,2,9,35,5,5,15,24,1,149,84,32,35.9,20.9,28.4
98935085-9819-48f6-a23f-da2393e8858d,55,7.5,0,2,2,6,22,0,0,16,24,0,120,65,21,28.0,12.0,20.0
