targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
7,3,15.7,47,0,16,21,0,0,31,0,1,1,0,50,16,66,4,25,1,5,0,0,9,5,25,0,2,0,0,0,0,1,0,0,0,44,29,19,17,3,4,0,0,0,0,0,7.7,6.2,4.7
10,8,12.4,99,1,47,33,33,0,52,0,0,0,12,40,14,54,3,35,1,4,1,1,7,3,22,0,0,0,0,0,0,0,0,0,0,50,32,19,10,4,5,0,0,0,0,0,23.9,19.9,15.9
6,3,20,60,0,26,41,0,1,34,2,2,2,22,41,21,62,6,33,1,1,0,0,9,4,22,0,5,3,0,0,0,0,0,0,0,41,28,16,22,4,6,0,0,0,0,0,9,7.5,6
5,2,6.5,13,1,6,8,5,2,7,0,0,0,0,30,22,52,2,10,0,2,0,0,2,2,10,0,1,0,0,0,0,4,0,0,0,30,22,50,2,0,1,0,0,0,0,0,9.3,8.3,7.3
11,7,9.4,66,2,19,14,12,3,47,0,1,1,2,32,22,54,4,39,0,6,0,0,6,4,24,0,1,0,0,0,0,1,0,1,2,30,19,18,5,2,6,0,0,0,0,0,25.6,22.1,18.6
10,5,10.8,54,1,7,19,14,1,47,0,0,0,0,31,26,57,4,20,3,7,0,0,13,4,15,0,2,4,0,0,0,2,0,1,0,37,20,8,12,7,4,0,0,0,0,0,16.4,13.9,11.4
5,2,6,12,0,3,8,0,0,9,0,0,0,0,35,9,44,1,8,1,4,2,0,3,4,13,0,2,1,0,1,0,1,0,0,0,24,12,14,4,2,5,0,0,0,0,0,3.2,2.2,1.2
10,7,7.6,53,0,18,9,0,0,35,1,0,0,11,42,7,49,3,12,0,2,0,0,7,6,21,0,7,1,0,0,1,0,0,0,1,40,29,15,9,3,6,0,0,0,0,0,12.3,8.8,5.3
8,5,18,90,1,18,42,19,1,72,1,1,1,14,50,8,58,3,30,0,2,0,0,7,4,24,0,6,0,0,0,0,0,0,0,0,25,19,29,10,3,8,0,0,0,0,0,20,17.5,15
10,8,15.8,126,0,22,33,0,0,104,2,1,1,11,51,9,60,6,49,3,6,3,2,11,5,49,0,3,0,0,0,0,1,0,0,1,39,27,19,15,3,6,0,0,0,0,0,20.6,16.6,12.6
8,5,16.4,82,1,32,55,55,0,50,0,0,0,6,39,10,49,4,18,0,2,0,0,5,7,19,0,1,4,0,0,0,3,0,0,0,27,19,24,6,1,4,0,0,0,0,0,19.2,16.7,14.2
6,4,10.5,42,0,31,14,0,0,11,0,0,0,4,35,15,50,2,7,1,3,0,0,6,4,11,0,6,1,0,0,0,0,0,0,2,20,12,6,7,1,7,0,0,0,0,0,8.2,6.2,4.2
14,10,8.4,84,2,68,25,25,1,16,2,1,1,28,42,30,72,1,9,0,2,0,0,4,2,10,0,3,4,0,1,0,1,0,0,0,50,38,51,5,1,10,0,0,0,0,0,30.4,25.4,20.4
7,5,11.4,57,1,25,13,13,1,32,0,0,0,4,34,22,56,3,26,3,6,1,1,7,1,7,0,2,0,0,0,0,0,0,0,0,50,32,36,16,1,7,0,0,0,0,0,16.7,14.2,11.7
8,5,17.6,88,1,52,51,12,1,36,0,0,0,0,40,7,47,4,40,1,1,2,1,6,4,29,0,4,0,0,0,0,1,0,0,1,37,22,20,5,3,1,0,0,0,0,0,19.8,17.3,14.8
12,8,8,64,1,9,16,9,2,55,0,2,2,2,53,16,69,4,28,0,2,0,0,9,5,24,0,2,2,0,0,0,1,1,0,0,42,31,14,5,4,6,0,0,0,0,0,20.4,16.4,12.4
9,7,7.4,52,1,19,16,2,1,33,0,1,1,4,38,28,66,4,25,0,1,1,1,7,4,25,0,5,1,0,0,0,0,0,0,0,44,27,9,6,2,7,0,0,0,0,0,18.2,14.7,11.2
14,8,10.1,81,0,44,25,0,1,37,0,0,0,12,49,19,68,2,16,1,7,3,1,4,6,17,0,5,1,0,0,0,3,0,0,0,39,20,17,2,2,13,0,0,0,0,0,16.1,12.1,8.1
12,9,15.6,140,1,48,30,12,1,92,0,0,0,8,47,8,55,4,19,0,3,2,2,7,3,14,0,3,0,0,1,0,0,0,0,0,49,32,8,4,3,9,0,0,0,0,0,29,24.5,20
16,10,13.2,132,2,32,38,16,3,100,2,0,0,5,43,12,55,3,20,0,1,0,0,7,7,33,0,4,0,0,0,0,2,0,0,0,42,23,22,13,4,6,0,0,0,0,0,35.2,30.2,25.2
7,5,26.6,133,0,39,48,0,0,94,0,0,0,3,35,9,44,3,33,0,2,0,0,8,6,37,1,2,4,1,1,0,0,0,0,0,31,18,18,7,5,4,0,0,0,0,0,18.3,15.8,13.3
9,6,6.7,40,1,28,10,2,1,12,0,0,0,4,31,32,63,1,9,0,4,2,1,6,0,0,0,0,4,0,0,0,0,0,0,0,41,23,22,6,4,3,0,0,0,0,0,16,13,10
7,4,14.3,57,2,14,25,25,1,43,0,1,1,2,34,16,50,2,17,0,2,0,0,4,1,11,0,2,2,1,1,1,2,0,0,0,25,18,6,2,1,4,0,0,0,0,0,21.7,19.7,17.7
12,10,16.6,166,0,51,57,0,0,115,0,0,0,10,25,22,47,5,21,0,0,0,0,7,4,15,0,2,4,0,0,0,1,0,0,0,28,21,8,4,0,4,0,0,0,0,0,26.6,21.6,16.6
8,5,13.8,69,1,20,36,15,1,49,0,0,0,6,29,17,46,4,26,0,2,0,0,5,4,26,0,2,2,0,1,0,0,0,0,0,29,19,5,6,1,3,0,0,0,0,0,17.9,15.4,12.9
13,8,11.6,93,1,27,19,13,1,66,1,1,1,5,51,8,59,1,6,0,2,0,0,4,6,12,0,5,0,0,0,0,0,0,0,2,52,32,29,12,3,6,0,0,0,0,0,23.3,19.3,15.3
11,7,11.6,81,1,15,22,7,1,66,0,0,0,8,40,19,59,4,34,0,4,0,0,5,9,43,0,2,2,0,0,0,1,0,0,2,32,23,9,5,1,3,0,0,0,0,0,21.1,17.6,14.1
13,8,14.9,119,0,44,28,0,0,75,1,0,0,8,41,10,51,5,39,1,10,0,0,9,5,35,0,0,0,0,0,0,1,0,0,2,43,26,7,12,2,3,0,0,0,0,0,19.9,15.9,11.9
18,11,6.5,71,1,33,16,16,1,38,0,0,0,13,45,18,63,4,29,0,4,0,0,12,4,32,0,3,0,1,1,0,0,0,0,0,59,42,58,5,7,11,0,0,0,0,0,24.1,18.6,13.1
8,4,9,36,0,19,11,0,1,17,1,0,0,10,40,4,44,5,37,0,5,1,0,7,9,47,0,1,0,0,0,0,0,0,0,0,27,17,7,7,2,7,0,0,0,0,0,7.6,5.6,3.6
9,7,15.1,106,0,22,39,0,1,84,0,0,0,4,45,17,62,2,18,0,4,1,2,9,7,32,0,2,0,0,1,0,3,0,0,1,32,22,19,4,7,3,0,0,0,0,0,17.6,14.1,10.6
