game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
88b69b59-d7b9-4572-84d8-6ec00f9af626,113,10.762,6,6,5,10,34,4,5,21,37,2,226,113,35,55.6,34.6,45.1
88b69b59-d7b9-4572-84d8-6ec00f9af626,144,11.5,0,3,3,11,33,9,2,22,32,1,253,109,4,53.3,31.3,42.3
29572e8e-e260-43ea-85d8-25b05dc2b8cb,202,13.261,0,0,0,12,45,19,7,23,33,1,305,103,0,59.5,36.5,48.0
29572e8e-e260-43ea-85d8-25b05dc2b8cb,74,12.375,0,3,3,8,46,0,5,16,33,0,198,124,14,35.8,19.8,27.8
2cc52209-4aae-43e5-9c25-65407907a01b,87,9.292,2,2,2,12,39,39,5,24,39,1,223,136,14,52.3,28.3,40.3
2cc52209-4aae-43e5-9c25-65407907a01b,148,10.042,1,1,1,10,29,18,4,24,32,2,241,93,25,60.1,36.1,48.1
36710c13-8f70-4a13-bd70-e1bfc74c3ab8,199,10.424,1,1,1,15,42,39,6,33,44,2,344,145,24,79.4,46.4,62.9
36710c13-8f70-4a13-bd70-e1bfc74c3ab8,90,8.238,1,1,1,9,28,28,4,21,32,2,173,83,14,50.3,29.3,39.8
6651d05f-21f5-4e6c-a595-43358844d80a,134,10.632,2,2,2,10,32,7,1,19,29,1,202,68,10,45.2,26.200000000000003,35.7
6651d05f-21f5-4e6c-a595-43358844d80a,69,6.286,1,0,0,9,31,0,5,21,30,0,132,63,3,34.2,13.200000000000001,23.700000000000003
