targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
8,7,13.3,93,2,17,30,18,2,76,0,0,0,6,44,20,64,1,5,0,2,1,0,2,5,17,0,6,0,0,0,0,0,0,0,0,41,35,16,6,1,18,0,0,0,0,0,28.3,24.8,21.3
6,2,13.5,27,0,1,21,0,0,26,0,0,0,0,31,24,55,2,21,0,6,1,1,8,4,22,0,3,0,0,0,0,0,0,0,0,41,23,57,8,4,4,0,0,0,0,0,4.7,3.7,2.7
11,8,21.6,173,2,57,59,59,1,116,0,2,2,30,41,26,67,0,0,0,2,0,0,5,2,6,0,0,2,0,0,0,3,0,0,2,33,25,20,13,3,11,0,0,0,0,0,37.3,33.3,29.3
7,5,19.6,98,0,14,33,0,0,84,0,0,0,4,34,6,40,2,22,0,5,2,3,6,2,22,0,8,0,0,0,0,0,0,0,1,33,11,9,9,4,2,0,0,0,0,0,14.8,12.3,9.8
4,1,4,4,0,0,4,0,0,4,0,0,0,0,50,8,58,4,35,0,4,0,0,10,8,46,1,3,4,1,0,0,2,0,0,0,34,22,12,2,5,9,0,0,0,0,0,1.4,0.9,0.4
6,4,6.8,27,0,9,10,0,0,18,0,0,0,0,57,4,61,1,1,1,10,1,0,5,9,22,0,3,0,0,0,1,1,0,0,0,51,31,40,4,4,5,0,0,0,0,0,6.7,4.7,2.7
5,4,19.5,78,1,24,51,3,1,54,0,0,0,5,34,28,62,0,0,2,2,0,0,2,3,6,0,3,0,0,0,0,1,0,0,0,30,21,31,15,2,1,0,0,0,0,0,17.8,15.8,13.8
6,4,8,32,0,21,10,0,0,11,0,0,0,2,49,16,65,0,0,0,2,0,0,5,5,22,0,1,0,0,0,0,1,0,0,0,41,30,47,11,5,7,0,0,0,0,0,7.2,5.2,3.2
7,5,13.2,66,0,49,37,0,0,17,0,0,0,3,50,13,63,2,10,0,2,0,0,9,7,30,0,4,0,0,0,2,2,0,0,1,33,23,10,6,5,3,0,0,0,0,0,11.6,9.1,6.6
5,2,16,32,0,19,19,0,0,13,0,0,0,0,40,24,64,2,20,0,2,0,0,2,4,24,0,1,4,0,0,0,0,0,0,0,30,22,9,8,0,6,0,0,0,0,0,5.2,4.2,3.2
