game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
67727342-163e-40ad-9231-c967a1963fd0,1,22,25,38,1,1,1,7,1,1,9,0,4.0,0,45,2,7.0,41.0,51.6,39.6,27.6
091f8aa6-6844-4584-82fc-ec3342a76557,0,14,19,30,0,1,0,6,1,4,2,0,1.0,0,48,1,2.0,3.0,48.7,39.2,29.700000000000003
9af87d82-7907-4c5c-9f1f-4cda1d762033,1,14,23,34,0,0,0,6,0,2,5,0,4.0,0,42,3,5.0,30.0,49.400000000000006,37.900000000000006,26.400000000000002
b9c4e80c-88bc-4029-8ab3-07148e599274,1,12,19,28,0,0,0,1,1,4,10,0,2.0,0,51,1,6.0,33.0,46.0,36.5,27.0
0a8d8f54-a2c6-42ea-a7a8-c04077bf15ba,1,30,24,30,0,0,0,1,1,2,8,0,4.0,0,39,2,8.0,32.0,48.8,37.8,26.8
b63e3b78-d93c-4fd8-b8f7-f21cf376cbca,0,10,20,25,0,1,0,4,0,2,4,0,1.0,0,37,2,3.0,14.0,45.400000000000006,35.400000000000006,25.400000000000002
f1099e5b-7021-4afd-9738-d5c44149414a,1,18,26,35,1,0,1,0,0,5,9,0,3.0,0,45,0,6.0,25.0,67.7,54.7,41.7
f22a607d-42d2-4d3b-939a-ef537b6ec9b9,3,6,13,27,1,2,1,2,1,3,3,0,1.0,0,37,3,5.0,16.0,26.0,19.5,13.0
29b710d2-b858-48a1-89ef-96a274399e03,0,4,14,22,0,0,0,0,0,3,8,0,1.0,0,41,2,2.0,8.0,26.6,19.6,12.600000000000001
cea16d81-991e-4560-8af5-7fb15a631c43,1,17,21,36,1,2,1,8,0,3,5,0,2.0,0,37,3,5.0,24.0,59.0,48.5,38.0
9190f168-b337-4e0c-8125-be23e8997c48,1,98,32,48,3,4,3,3,0,9,10,0,3.0,0,51,1,2.0,4.0,74.2,59.7,45.2
c3184f83-079a-4a79-a4d9-d1f31b9d2de7,0,4,21,31,0,1,0,0,1,2,0,0,3.0,0,29,1,2.0,10.0,48.0,37.5,27.0
7d4cba90-ef28-4c39-875a-02ab9fe44ae5,0,14,17,20,0,1,1,6,0,2,10,0,0.0,0,41,3,4.0,8.0,38.8,30.3,21.8
00e3dae8-7b4c-411d-baec-d442e90ce83b,0,11,22,27,1,0,1,3,0,0,3,0,5.0,0,39,1,5.0,26.0,84.1,73.1,62.1
945e166e-44da-4fb4-b3b3-575b0ca24e7c,0,19,23,32,1,1,0,1,0,7,6,0,2.0,0,34,1,2.0,9.0,66.2,54.7,43.2
5592c08c-4cb1-49e9-90b0-9b04ace1fbdf,0,7,16,29,1,2,1,2,1,3,8,0,4.0,0,24,2,2.0,11.0,42.0,33.0,24.0
2001a9fe-f673-49c4-a37f-1c7f9dc8f1ee,1,6,11,16,0,0,0,2,0,0,2,0,5.0,0,36,0,10.0,43.0,25.8,20.3,14.8
a58fcc05-e52a-4a94-b369-1f569b53521e,2,13,20,29,0,0,1,5,2,3,10,0,2.0,0,45,2,7.0,26.0,59.8,49.8,39.8
757b08bc-60d5-4863-be18-9f15871c0cab,0,6,17,32,1,1,0,4,3,2,3,0,1.0,0,30,1,4.0,14.0,43.400000000000006,34.900000000000006,26.400000000000002
3c30300b-d8df-495e-92ca-acf9fde6d1dc,0,0,0,0,1,1,1,0,2,0,0,0,8.0,0,35,2,6.0,31.0,64.0,51.0,38.0
