game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
67727342-163e-40ad-9231-c967a1963fd0,96,16.333,1,2,2,10,51,35,4,15,27,3,245,149,20,57.5,42.5,50.0
091f8aa6-6844-4584-82fc-ec3342a76557,77,10.786,1,0,0,10,32,32,4,14,25,3,151,74,26,47.1,33.1,40.1
9af87d82-7907-4c5c-9f1f-4cda1d762033,182,11.773,1,2,2,13,30,8,10,22,43,1,259,77,4,53.900000000000006,31.900000000000002,42.900000000000006
b9c4e80c-88bc-4029-8ab3-07148e599274,197,10.696,1,0,0,9,44,1,8,23,34,1,246,49,15,53.6,30.6,42.1
0a8d8f54-a2c6-42ea-a7a8-c04077bf15ba,51,11.375,0,5,5,7,77,0,1,16,29,0,182,131,42,34.2,18.2,26.2
b63e3b78-d93c-4fd8-b8f7-f21cf376cbca,77,8.818,2,1,1,13,29,16,5,22,32,2,194,117,52,53.400000000000006,31.400000000000002,42.400000000000006
f1099e5b-7021-4afd-9738-d5c44149414a,108,9.542,4,3,3,14,34,1,7,24,40,1,229,121,31,52.900000000000006,28.900000000000002,40.900000000000006
f22a607d-42d2-4d3b-939a-ef537b6ec9b9,124,11.4,1,2,2,10,37,20,0,20,25,1,228,104,17,48.8,28.8,38.8
29b710d2-b858-48a1-89ef-96a274399e03,200,13.762,1,3,3,13,46,35,8,21,37,2,289,89,8,61.900000000000006,40.900000000000006,51.400000000000006
cea16d81-991e-4560-8af5-7fb15a631c43,130,11.926,2,1,1,16,35,24,4,27,38,2,322,192,84,71.2,44.2,57.7
9190f168-b337-4e0c-8125-be23e8997c48,196,12.182,1,2,2,13,53,16,4,22,30,3,268,72,21,66.8,44.8,55.8
c3184f83-079a-4a79-a4d9-d1f31b9d2de7,155,10.68,2,1,1,15,33,12,7,25,35,3,267,112,18,69.7,44.7,57.2
7d4cba90-ef28-4c39-875a-02ab9fe44ae5,84,8.72,4,1,2,12,43,6,8,25,38,1,218,134,56,52.8,27.8,40.3
00e3dae8-7b4c-411d-baec-d442e90ce83b,151,9.793,2,0,0,13,36,17,7,29,36,2,284,133,42,69.4,40.400000000000006,54.900000000000006
945e166e-44da-4fb4-b3b3-575b0ca24e7c,125,12.882,3,2,2,12,36,21,2,17,26,2,219,94,51,50.900000000000006,33.900000000000006,42.400000000000006
5592c08c-4cb1-49e9-90b0-9b04ace1fbdf,169,11.72,2,3,3,17,37,33,5,25,34,3,293,124,59,72.3,47.3,59.8
2001a9fe-f673-49c4-a37f-1c7f9dc8f1ee,163,11.704,1,0,0,14,59,12,6,27,32,2,316,153,46,70.6,43.6,57.1
a58fcc05-e52a-4a94-b369-1f569b53521e,122,15.294,1,4,4,9,70,70,7,17,32,2,260,138,48,55.0,38.0,46.5
757b08bc-60d5-4863-be18-9f15871c0cab,64,10.167,1,0,0,6,39,14,1,12,13,1,122,58,8,30.200000000000003,18.200000000000003,24.200000000000003
3c30300b-d8df-495e-92ca-acf9fde6d1dc,57,15.538,0,0,0,6,37,30,1,13,19,1,202,145,0,39.2,26.200000000000003,32.7
