game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
85bf59a4-8df7-45c9-9de5-bced0dab7aa2,2,15,16,29,1,0,1,4,1,2,5,0,3.0,0,44,3,6.0,20.0,37.4,29.4,21.4
33cfcb29-b952-413c-873c-49e1b04c2af1,0,5,24,33,0,0,0,0,0,1,4,0,0.0,0,49,1,3.0,6.0,59.7,47.7,35.7
b56959d3-74b7-4cc6-9169-eba8d60608be,1,26,20,34,0,0,0,1,2,4,2,0,6.0,0,33,5,7.0,51.0,50.900000000000006,41.900000000000006,32.900000000000006
91b107b8-c59f-4621-a585-ec48d54bbec1,0,13,19,27,1,0,0,1,1,4,8,0,3.0,0,45,2,4.0,10.0,55.2,45.7,36.2
f0aa2ade-8128-400e-b26e-315833759b93,2,13,15,30,1,3,1,4,2,4,9,0,3.0,0,28,4,3.0,8.0,43.6,36.1,28.6
d6c8527c-5735-40a8-a91b-bcc96c4d9aca,1,12,27,37,0,2,0,5,2,9,6,0,4.0,0,50,1,8.0,36.0,59.6,46.1,32.6
966ab6e4-153a-4c1f-8cac-98163cd98caf,1,5,22,30,1,0,1,0,2,5,4,0,2.0,0,41,2,3.0,11.0,64.5,53.5,42.5
647d4013-1c0e-489c-bd79-56ab9c409ee2,0,5,26,36,1,0,1,0,1,4,2,0,1.0,0,33,2,2.0,10.0,57.8,44.8,31.8
5c95aadb-a7e9-4bcf-a029-de98b289d1a1,0,16,23,39,1,1,2,7,1,4,2,0,1.0,0,41,2,1.0,3.0,64.6,53.1,41.6
643adc23-5f34-4b1d-8051-e40344a58a9b,0,3,16,24,1,0,0,0,0,2,3,0,3.0,0,40,2,5.0,21.0,54.400000000000006,46.400000000000006,38.400000000000006
0e44c04f-93ff-4196-8664-47246c17b4bf,1,14,25,33,1,0,1,1,0,2,7,0,2.0,0,42,0,5.0,21.0,51.8,39.8,27.8
0b65ee33-24f0-4dce-942d-ab994f600328,1,7,31,39,1,0,0,5,0,3,4,0,4.0,0,43,3,6.0,28.0,75.1,59.6,44.1
63826426-2bfc-4092-be72-0e217ae59945,1,8,25,38,0,1,0,1,1,0,2,0,3.0,0,39,2,6.0,21.0,56.0,43.0,30.0
3d21e60f-18aa-4a25-bc47-ba6bc31f4938,0,14,26,32,0,1,0,3,2,6,0,0,3.0,0,39,3,3.0,14.0,68.3,55.3,42.3
389ffb68-0764-4e36-81a3-fb23055c6c32,0,14,17,25,1,0,0,1,0,2,2,0,1.0,0,26,3,5.0,22.0,58.0,49.5,41.0
0f0e40a3-a40e-4630-9956-739cd9355569,0,4,21,28,1,0,1,3,0,5,6,0,2.0,0,35,1,3.0,5.0,51.5,41.0,30.5
e26f8d1d-cc69-4d5e-bee1-142649486e66,2,4,12,24,0,0,0,0,2,5,5,0,3.0,0,31,4,5.0,24.0,41.6,35.1,28.6
5ce1f98c-3e49-455a-8b1a-327a1bb094ba,0,9,15,23,1,0,0,1,0,6,10,0,1.0,0,39,3,5.0,9.0,27.1,19.6,12.100000000000001
838f17cb-62bb-4d0f-9a73-a611ece48ca8,0,6,17,23,1,0,1,0,2,2,3,0,2.0,0,37,1,2.0,14.0,45.1,36.1,27.1
