game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
85bf59a4-8df7-45c9-9de5-bced0dab7aa2,31,5.857,1,3,3,3,12,0,0,14,31,0,82,51,19,22.200000000000003,8.200000000000001,15.200000000000001
33cfcb29-b952-413c-873c-49e1b04c2af1,80,8.222,0,2,2,13,32,4,12,27,39,2,222,142,17,61.2,34.2,47.7
b56959d3-74b7-4cc6-9169-eba8d60608be,123,9.962,3,4,4,12,43,0,1,26,46,0,259,136,61,51.900000000000006,25.900000000000002,38.900000000000006
91b107b8-c59f-4621-a585-ec48d54bbec1,57,8.25,1,1,1,8,17,0,1,20,27,0,165,108,21,36.5,16.5,26.5
f0aa2ade-8128-400e-b26e-315833759b93,162,8.806,0,0,0,19,63,63,7,36,44,3,317,155,15,85.7,49.7,67.7
d6c8527c-5735-40a8-a91b-bcc96c4d9aca,72,7.708,0,2,2,10,31,8,4,24,35,2,185,113,15,54.5,30.5,42.5
966ab6e4-153a-4c1f-8cac-98163cd98caf,157,10.107,0,2,2,17,33,17,7,28,32,3,283,126,22,74.3,46.3,60.3
647d4013-1c0e-489c-bd79-56ab9c409ee2,165,11.226,0,4,4,17,32,22,8,31,42,2,348,183,0,77.80000000000001,46.800000000000004,62.300000000000004
5c95aadb-a7e9-4bcf-a029-de98b289d1a1,184,12.852,0,3,3,11,64,64,3,27,39,2,347,163,53,73.7,46.7,60.2
643adc23-5f34-4b1d-8051-e40344a58a9b,80,8.895,0,0,1,10,21,4,5,19,31,2,169,89,10,47.900000000000006,28.900000000000002,38.400000000000006
0e44c04f-93ff-4196-8664-47246c17b4bf,99,11.947,5,0,0,9,39,11,3,19,25,1,227,128,60,47.7,28.700000000000003,38.2
0b65ee33-24f0-4dce-942d-ab994f600328,143,10.515,4,2,2,17,76,76,3,33,37,1,347,204,80,73.7,40.7,57.2
63826426-2bfc-4092-be72-0e217ae59945,69,14.421,2,2,2,11,54,54,5,19,25,2,274,205,51,58.400000000000006,39.400000000000006,48.900000000000006
3d21e60f-18aa-4a25-bc47-ba6bc31f4938,164,11.172,0,1,1,17,44,21,3,29,40,2,324,160,43,73.4,44.4,58.9
389ffb68-0764-4e36-81a3-fb23055c6c32,141,11.964,1,0,0,13,80,80,5,28,40,1,335,194,36,67.5,39.5,53.5
0f0e40a3-a40e-4630-9956-739cd9355569,85,10.368,2,1,1,11,24,7,4,19,31,1,197,112,27,44.7,25.700000000000003,35.2
e26f8d1d-cc69-4d5e-bee1-142649486e66,77,8.381,1,2,2,10,35,7,3,21,28,3,176,99,32,56.6,35.6,46.1
5ce1f98c-3e49-455a-8b1a-327a1bb094ba,97,7.81,0,2,1,7,28,0,2,21,29,0,164,67,3,37.400000000000006,16.400000000000002,26.900000000000002
838f17cb-62bb-4d0f-9a73-a611ece48ca8,136,11.217,2,3,3,11,47,4,9,23,34,2,258,122,33,60.8,37.8,49.3
