game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
88b69b59-d7b9-4572-84d8-6ec00f9af626,0,7,19,35,0,1,0,1,1,7,6,0,0.0,0,37,2,2.0,4.0,55.6,45.1,34.6
134e5c18-f21d-40c6-a3ac-27aaaf490fd2,1,20,32,41,0,0,0,14,0,0,14,0,1.0,0,49,1,1.0,22.0,76.80000000000001,60.800000000000004,44.800000000000004
8fdd0e6f-d8b0-45de-8c48-967a88b159a6,3,13,21,39,1,1,1,5,0,2,11,0,7.0,0,43,4,11.0,60.0,41.1,30.6,20.1
b9c4e80c-88bc-4029-8ab3-07148e599274,0,4,23,34,1,0,0,2,2,5,1,0,5.0,0,31,4,8.0,42.0,53.6,42.1,30.6
798b89c1-25a4-4374-b794-58f30bb8fa64,0,17,28,39,1,0,1,4,2,4,8,0,1.0,0,40,1,2.0,6.0,67.7,55.2,42.7
46dfa19a-bd6b-41c6-8f24-840c7588fe59,3,11,19,37,0,1,0,8,1,2,5,0,1.0,0,31,1,3.0,9.0,39.6,30.1,20.6
0c52ea82-0f2f-4024-bde7-b5571e13fb01,0,8,21,28,0,0,1,0,0,1,6,0,0.0,0,34,1,2.0,2.0,74.7,64.2,53.7
121b662e-307d-47d2-a2db-9f383ffb0e3a,1,19,10,21,1,3,0,3,1,3,4,0,6.0,0,28,2,7.0,50.0,22.6,17.6,12.600000000000001
16457a3c-fff2-47cf-968a-0b9f4ca8e72f,0,21,30,45,0,0,0,4,1,5,8,0,0.0,0,41,2,1.0,2.0,83.30000000000001,69.80000000000001,56.300000000000004
7b90aa8c-0c4b-485e-b747-60a7a02c6009,1,6,16,22,2,0,1,0,0,2,8,0,2.0,1,49,1,8.0,30.0,38.900000000000006,30.900000000000002,22.900000000000002
9190f168-b337-4e0c-8125-be23e8997c48,0,22,24,34,0,1,0,6,0,4,5,0,0.0,0,32,0,3.0,3.0,66.8,55.8,44.8
dd216370-628b-45a4-938c-83dad15dc60f,0,18,20,31,0,1,1,1,1,5,8,0,2.0,0,37,3,7.0,35.0,51.7,42.2,32.7
b1aaf072-e11f-44e0-81a2-b01f005065b6,2,22,19,32,0,1,0,6,0,5,10,0,3.0,0,34,3,5.0,32.0,47.3,37.8,28.3
e7fe0f04-657a-4d37-94be-fbbfc7ed3fac,1,31,19,34,1,0,1,6,0,6,9,0,2.0,0,33,2,4.0,19.0,46.3,37.3,28.3
c2dcdbbd-3de4-4b79-9b1c-401a21f7063e,1,22,23,36,2,1,0,4,4,6,3,0,4.0,0,28,2,3.0,22.0,75.1,64.1,53.1
f6f2d1c1-bda0-4ecc-b374-f824118cab58,0,25,26,38,2,0,0,6,1,4,6,0,3.0,0,44,1,8.0,24.0,72.5,59.5,46.5
0cb9edf9-d268-4f1f-be29-10241ab955c6,3,41,36,50,0,1,0,4,2,11,12,0,4.0,0,53,2,6.0,51.0,81.6,66.6,51.6
58aee650-cc6e-49cb-a980-67545ef79f2d,0,20,36,50,0,1,0,5,1,9,7,0,2.0,0,45,2,7.0,16.0,71.7,54.7,37.7
f3544bab-b8d9-4c64-843b-8bfed2a08361,1,29,12,21,2,0,0,5,1,0,5,0,5.0,0,31,2,7.0,32.0,36.5,30.5,24.5
1c7fab65-2b38-412f-b749-98f1ad646392,0,0,0,0,0,2,0,0,1,0,0,0,0.0,0,25,3,2.0,4.0,34.4,26.9,19.4
