game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
88b69b59-d7b9-4572-84d8-6ec00f9af626,144,11.5,0,3,3,11,33,9,2,22,32,1,253,109,4,53.3,31.3,42.3
134e5c18-f21d-40c6-a3ac-27aaaf490fd2,212,11.536,3,2,2,17,39,36,3,28,34,3,323,111,38,78.30000000000001,50.300000000000004,64.30000000000001
8fdd0e6f-d8b0-45de-8c48-967a88b159a6,177,11.045,1,1,1,11,45,45,2,22,31,1,243,66,13,52.3,30.3,41.3
b9c4e80c-88bc-4029-8ab3-07148e599274,114,11.053,5,2,2,11,35,24,3,19,27,1,210,96,34,46.0,27.0,36.5
798b89c1-25a4-4374-b794-58f30bb8fa64,115,11.8,1,4,4,11,31,31,4,20,27,3,236,121,38,61.6,41.6,51.6
46dfa19a-bd6b-41c6-8f24-840c7588fe59,181,11.767,1,1,1,16,45,45,2,30,41,2,353,172,5,77.30000000000001,47.300000000000004,62.300000000000004
0c52ea82-0f2f-4024-bde7-b5571e13fb01,143,8.606,1,3,3,13,22,0,2,33,49,0,284,141,37,61.400000000000006,28.400000000000002,44.900000000000006
121b662e-307d-47d2-a2db-9f383ffb0e3a,96,10.462,3,3,3,17,44,18,5,26,34,1,272,176,36,59.2,33.2,46.2
16457a3c-fff2-47cf-968a-0b9f4ca8e72f,159,14.478,0,4,4,13,46,25,2,23,32,2,333,174,14,68.30000000000001,45.300000000000004,56.800000000000004
7b90aa8c-0c4b-485e-b747-60a7a02c6009,142,10.261,4,0,0,14,32,32,4,23,32,2,236,94,46,58.6,35.6,47.1
9190f168-b337-4e0c-8125-be23e8997c48,181,11.448,2,2,2,17,38,12,4,29,42,2,332,151,32,74.2,45.2,59.7
dd216370-628b-45a4-938c-83dad15dc60f,112,13.313,3,3,3,9,48,25,4,16,25,2,213,101,58,49.3,33.3,41.3
b1aaf072-e11f-44e0-81a2-b01f005065b6,78,8.05,0,3,3,7,27,8,4,20,34,1,161,83,17,42.1,22.1,32.1
e7fe0f04-657a-4d37-94be-fbbfc7ed3fac,157,11.583,3,0,0,18,29,19,8,24,32,5,278,121,55,81.8,57.8,69.8
c2dcdbbd-3de4-4b79-9b1c-401a21f7063e,97,8.567,5,3,3,16,25,1,7,30,39,1,257,160,44,61.7,31.700000000000003,46.7
f6f2d1c1-bda0-4ecc-b374-f824118cab58,194,15.1,2,1,1,14,63,11,5,20,32,1,302,108,45,56.2,36.2,46.2
0cb9edf9-d268-4f1f-be29-10241ab955c6,148,13.913,3,0,0,13,70,70,4,23,31,2,320,172,36,67.0,44.0,55.5
58aee650-cc6e-49cb-a980-67545ef79f2d,69,12.056,2,3,3,7,52,52,6,18,28,1,217,148,26,45.7,27.700000000000003,36.7
f3544bab-b8d9-4c64-843b-8bfed2a08361,183,9.257,1,0,0,16,50,0,11,35,53,0,324,141,35,67.4,32.4,49.9
1c7fab65-2b38-412f-b749-98f1ad646392,80,10.647,0,0,0,10,24,20,1,17,22,2,181,101,0,47.1,30.1,38.6
