game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
84b20c0a-0be4-4efd-9359-5e31f912ad8a,122,7.484,3,1,1,9,31,3,10,31,45,1,232,110,24,60.2,29.200000000000003,44.7
a7704921-505f-4680-a7e7-d0d1862dd970,72,14.8,1,2,2,6,71,71,0,15,29,1,222,150,61,43.2,28.200000000000003,35.7
8c138263-1dc1-4e28-96ee-21158684cd55,115,14.688,1,0,0,10,72,72,1,16,27,2,235,120,9,51.5,35.5,43.5
16da0c37-5e2e-4b36-a990-eda22e811cd7,42,7.333,3,0,0,4,32,0,2,18,27,0,132,90,35,31.200000000000003,13.200000000000001,22.200000000000003
995c3800-4995-4994-87e6-383e80a02b28,158,12.444,1,2,2,11,41,41,2,18,31,1,224,66,13,46.400000000000006,28.400000000000002,37.400000000000006
50565c54-2e14-4884-96fb-f259aec55a2e,119,13.529,4,2,2,9,39,0,2,17,23,0,230,111,39,40.0,23.0,31.5
585f12fd-212f-44ce-9dbf-ff54a770a6a7,114,8.44,1,3,3,12,22,22,3,25,40,1,211,97,30,52.1,27.1,39.6
ccd5ad1a-f15c-4bad-9a4e-18a3d5d23fe3,54,8.421,0,2,2,9,32,3,4,19,29,1,160,106,18,41.0,22.0,31.5
29b710d2-b858-48a1-89ef-96a274399e03,41,9.0,0,1,1,6,28,0,1,14,22,0,126,85,18,26.6,12.600000000000001,19.6
5a8b6e08-5379-4c81-9a0a-0c31c1b7dd02,45,7.067,1,0,0,4,14,0,0,15,25,0,106,61,9,25.6,10.600000000000001,18.1
0e44c04f-93ff-4196-8664-47246c17b4bf,156,11.583,2,1,0,15,43,0,2,24,32,0,278,122,47,51.8,27.8,39.8
c62de0b4-a85e-498e-a007-eb0eb7df47aa,144,10.389,1,2,2,13,38,2,4,18,27,1,187,43,19,42.7,24.7,33.7
aa0f5109-cc6b-41b3-be37-b47d80e21e51,81,8.636,3,3,1,10,25,25,2,22,35,1,190,109,38,47.0,25.0,36.0
960b80c5-f160-46ee-8817-97f860b5f12b,122,9.556,1,0,0,9,25,4,1,18,26,1,172,50,22,41.2,23.2,32.2
389ffb68-0764-4e36-81a3-fb23055c6c32,111,17.059,0,0,0,7,86,86,2,17,25,2,290,179,9,58.0,41.0,49.5
6f495571-57f9-4125-9b46-7421a38eccd3,155,15.222,2,0,0,11,42,0,4,18,21,0,274,119,66,45.400000000000006,27.400000000000002,36.400000000000006
dc3e4ea6-1f65-4d2f-877b-acc35bda747d,25,8.444,2,0,0,8,71,71,2,18,20,1,152,127,15,39.2,21.200000000000003,30.200000000000003
ceee4d3b-def4-4ac5-bcda-b352ea519856,102,9.176,2,0,0,6,40,0,1,17,22,0,156,54,13,32.6,15.600000000000001,24.1
2502a818-d852-4154-b8d7-1ac9686013c6,65,9.0,0,2,0,7,16,5,4,13,18,1,117,52,8,30.700000000000003,17.700000000000003,24.200000000000003
c99e7176-04fa-4e4f-8035-ed7d019be3a1,101,9.8,0,0,0,9,55,55,2,25,31,1,245,144,0,55.5,30.5,43.0
