game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
bf8bf897-a90f-4b1e-a993-d1982d1aeb0a,0,0,16,27,0,0,0,1,1,1,1,0,0.0,0,31,0,1.0,3.0,52.0,42.0,32.0
9bb5672f-4968-4d61-ae96-db32e26b10bb,3,1,26,34,1,0,0,2,0,2,3,0,4.0,0,40,3,6.0,24.0,68.9,55.400000000000006,41.900000000000006
2871c33a-b958-44c0-a690-a4ffceb7972a,0,9,25,28,0,2,0,0,0,1,18,0,0.0,0,47,1,6.0,14.0,92.6,80.1,67.6
fe8484a3-0a70-4621-bb24-7aa1ff706654,0,1,28,35,1,2,1,0,1,5,3,0,4.0,0,48,0,3.0,11.0,85.5,71.5,57.5
ac792574-1d49-48e7-af5f-9cf618402d4d,1,9,19,26,2,0,0,1,1,1,9,0,4.0,0,45,2,4.0,12.0,38.900000000000006,29.400000000000002,19.900000000000002
eb4c2dca-b464-42a9-ba46-b5546e1cb9c3,1,10,33,44,0,1,0,8,1,1,3,0,2.0,0,50,0,7.0,21.0,66.6,51.6,36.6
b63e3b78-d93c-4fd8-b8f7-f21cf376cbca,1,16,22,32,0,0,0,1,1,3,2,0,0.0,0,40,1,4.0,6.0,53.400000000000006,42.400000000000006,31.400000000000002
2148ee07-5ef0-4225-ab7b-7e90828916cb,1,14,26,41,2,2,2,0,2,5,5,0,3.0,0,37,1,6.0,27.0,48.0,36.0,24.0
d76e1ced-576d-4915-ac04-f1893772864c,1,8,14,26,2,1,2,1,2,3,10,0,0.0,0,25,1,1.0,1.0,38.7,31.2,23.7
9715aada-fd9d-4e6b-9824-13629029cf6a,0,0,20,32,2,1,2,0,1,8,2,0,2.0,0,45,0,3.0,14.0,48.1,38.1,28.1
29f5d3d8-b174-4a65-8f3f-008ea4afa75d,1,34,20,39,2,3,3,6,0,3,4,0,4.0,1,34,3,3.0,9.0,45.0,35.0,25.0
4d89a5c1-9d45-40fa-acb9-4af0b43cfe72,0,23,16,26,1,0,0,5,0,0,4,0,5.0,0,40,3,6.0,26.0,52.2,43.7,35.2
ebdaafda-0bae-4a34-9e44-349841e1b3bc,3,30,25,45,2,5,1,1,1,4,1,0,6.0,0,45,2,7.0,41.0,49.5,38.5,27.5
e7fe0f04-657a-4d37-94be-fbbfc7ed3fac,0,17,25,33,0,0,0,1,0,5,20,0,2.0,0,42,2,5.0,24.0,81.8,69.8,57.8
7ad5a64d-1613-4dfe-bf15-59868304f1de,0,19,25,31,1,0,1,1,0,2,1,0,2.0,0,37,7,2.0,13.0,62.6,50.1,37.6
b06fe024-b433-42ed-8b68-69a338edc5ed,0,15,24,37,1,1,1,0,0,1,3,0,1.0,0,45,2,3.0,8.0,46.0,34.0,22.0
7d1dfaee-8c3a-46f3-abbf-f3c8c3967c0d,0,25,20,27,0,0,0,0,0,2,8,0,3.0,0,36,4,4.0,16.0,56.400000000000006,46.400000000000006,36.400000000000006
53413ecb-275d-4563-b62f-80e0b5645732,0,20,18,25,0,0,0,1,1,5,9,0,2.0,2,39,4,9.0,29.0,41.1,32.1,23.1
2502a818-d852-4154-b8d7-1ac9686013c6,0,19,13,18,0,0,0,0,0,4,3,0,2.0,0,37,5,4.0,11.0,30.700000000000003,24.200000000000003,17.700000000000003
fe80d709-fc94-4d2d-aab7-fe31f30426a3,0,0,0,0,1,2,1,0,1,0,0,0,7.0,0,36,2,5.0,31.0,47.3,34.8,22.3
