game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
bf8bf897-a90f-4b1e-a993-d1982d1aeb0a,99,6.556,1,1,0,11,21,5,5,27,32,2,177,78,33,56.7,29.7,43.2
9bb5672f-4968-4d61-ae96-db32e26b10bb,198,17.111,0,0,0,8,60,60,5,18,27,3,308,110,24,66.8,48.8,57.8
2871c33a-b958-44c0-a690-a4ffceb7972a,183,13.304,2,0,0,13,46,12,6,23,36,1,306,123,34,59.6,36.6,48.1
fe8484a3-0a70-4621-bb24-7aa1ff706654,86,10.619,0,1,1,9,48,18,5,21,26,3,223,137,41,61.3,40.3,50.8
ac792574-1d49-48e7-af5f-9cf618402d4d,48,9.8,4,1,1,10,29,22,4,20,27,2,196,148,58,51.6,31.6,41.6
eb4c2dca-b464-42a9-ba46-b5546e1cb9c3,37,7.308,0,1,1,4,21,11,1,13,22,1,95,58,5,28.5,15.5,22.0
b63e3b78-d93c-4fd8-b8f7-f21cf376cbca,106,9.7,1,2,2,9,33,18,2,20,24,1,194,88,29,45.400000000000006,25.400000000000002,35.400000000000006
2148ee07-5ef0-4225-ab7b-7e90828916cb,42,9.5,5,1,1,7,39,11,4,12,18,3,114,72,17,41.4,29.4,35.4
d76e1ced-576d-4915-ac04-f1893772864c,77,8.042,1,2,2,12,30,7,4,24,29,2,193,116,44,55.3,31.3,43.3
9715aada-fd9d-4e6b-9824-13629029cf6a,82,9.593,0,0,0,11,33,15,4,27,32,1,259,177,38,58.900000000000006,31.900000000000002,45.400000000000006
29f5d3d8-b174-4a65-8f3f-008ea4afa75d,67,10.308,0,3,3,5,31,8,3,13,21,1,134,67,8,32.4,19.4,25.9
4d89a5c1-9d45-40fa-acb9-4af0b43cfe72,98,12.4,1,1,1,5,45,45,4,15,24,1,186,88,19,39.6,24.6,32.1
ebdaafda-0bae-4a34-9e44-349841e1b3bc,40,10.667,2,1,1,9,46,46,3,21,30,2,224,184,40,55.400000000000006,34.400000000000006,44.900000000000006
e7fe0f04-657a-4d37-94be-fbbfc7ed3fac,86,12.389,1,2,2,12,40,3,6,18,32,1,223,137,54,46.3,28.3,37.3
7ad5a64d-1613-4dfe-bf15-59868304f1de,86,9.52,7,2,2,10,47,21,4,25,35,2,238,152,64,60.8,35.8,48.3
b06fe024-b433-42ed-8b68-69a338edc5ed,50,11.2,0,0,0,7,54,54,3,20,30,1,224,174,46,48.400000000000006,28.400000000000002,38.400000000000006
7d1dfaee-8c3a-46f3-abbf-f3c8c3967c0d,112,13.6,4,2,2,12,47,24,2,20,32,1,272,160,23,53.2,33.2,43.2
53413ecb-275d-4563-b62f-80e0b5645732,70,5.308,0,2,2,6,25,0,5,26,42,0,138,68,25,39.8,13.8,26.8
2502a818-d852-4154-b8d7-1ac9686013c6,119,12.3,0,2,2,8,49,0,5,20,33,0,246,127,30,44.6,24.6,34.6
fe80d709-fc94-4d2d-aab7-fe31f30426a3,117,8.64,0,0,0,8,31,0,2,25,34,0,216,99,0,46.6,21.6,34.1
