game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
29572e8e-e260-43ea-85d8-25b05dc2b8cb,1,2,23,33,1,0,0,1,1,3,0,0,4.0,0,39,2,7.0,25.0,59.5,48.0,36.5
2917e52e-5e28-4e78-a6b9-beabc5c5ab18,0,9,28,39,0,0,0,1,0,1,6,0,3.0,0,39,3,6.0,29.0,69.5,56.0,42.5
5520fd9f-d5d2-4dbb-9713-8947dbc9f569,0,13,27,31,2,0,1,3,0,2,11,0,3.0,0,48,1,7.0,22.0,67.9,54.400000000000006,40.900000000000006
91b107b8-c59f-4621-a585-ec48d54bbec1,2,24,21,27,1,1,1,1,0,7,2,0,3.0,0,34,2,5.0,18.0,36.5,26.5,16.5
3751d242-c51f-46f0-8b80-8acd0ea64554,0,9,20,24,1,1,0,0,0,0,3,0,1.0,0,41,0,0.0,0.0,45.3,35.3,25.3
b6ea4083-5d31-4061-a984-31cd69f8572b,0,11,21,29,0,0,0,4,1,0,8,0,1.0,0,53,2,5.0,11.0,49.3,38.8,28.3
f059907e-faa8-455b-8eee-50f5fc8c3e56,2,4,20,35,1,1,1,1,0,4,3,0,6.0,0,41,4,7.0,45.0,50.6,40.6,30.6
ccd5ad1a-f15c-4bad-9a4e-18a3d5d23fe3,2,10,19,29,0,0,0,3,0,2,8,0,0.0,0,35,3,4.0,9.0,41.0,31.5,22.0
b820ed44-098a-4c44-a28b-71203299a4a9,1,3,18,29,0,0,0,0,1,2,3,0,3.0,0,35,4,5.0,21.0,57.8,48.8,39.8
f87e5f4f-d97c-4e86-9bc4-5a1539c41d04,0,9,22,31,0,1,0,6,0,2,8,0,1.0,0,51,1,6.0,10.0,62.2,50.2,38.2
44de8740-e448-4016-adf6-02501056d48b,0,6,18,24,1,1,1,6,0,2,6,0,4.0,0,49,2,9.0,46.0,37.400000000000006,28.400000000000002,19.400000000000002
92503fb3-b59c-4c54-a639-fa88067a3e17,0,23,26,41,1,0,1,0,0,4,0,0,3.0,0,40,5,0.0,0.0,69.2,56.2,43.2
a83301f9-7a05-4159-9a05-35a2cba4bc15,0,6,23,33,1,1,1,6,0,2,8,0,5.0,0,50,3,6.0,36.0,47.0,35.5,24.0
c85d6cbc-539a-4824-b63a-e7e738cc42f2,0,11,23,34,0,0,0,1,1,2,3,0,4.0,0,54,2,10.0,57.0,51.900000000000006,40.400000000000006,28.900000000000002
19a88df4-b884-496a-b581-078de5c163c7,0,16,23,38,1,0,0,6,0,0,8,0,3.0,0,33,1,6.0,19.0,59.7,47.2,34.7
8d40574a-5a6c-4520-a343-9e201e70d2a7,0,7,24,31,1,0,0,0,0,1,4,0,1.0,0,38,2,5.0,19.0,51.3,39.3,27.3
091ce60b-06f3-4202-9286-9664a47d08be,1,19,29,41,0,3,0,3,2,2,2,0,0.0,0,43,1,2.0,2.0,69.0,54.5,40.0
23917ea9-a8f3-4742-aaa6-4c92cb4d27e6,3,6,14,30,1,0,0,4,0,2,1,0,2.0,0,30,2,8.0,43.0,23.3,16.3,9.3
d764263c-4cec-44ad-b1fe-e6ec23f15a0c,1,8,18,29,0,0,0,1,0,1,7,0,2.0,0,36,3,6.0,23.0,47.6,38.6,29.6
3c30300b-d8df-495e-92ca-acf9fde6d1dc,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,47,3,6.0,21.0,39.2,32.7,26.200000000000003
