game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
29572e8e-e260-43ea-85d8-25b05dc2b8cb,74,12.375,0,3,3,8,46,0,5,16,33,0,198,124,14,35.8,19.8,27.8
2917e52e-5e28-4e78-a6b9-beabc5c5ab18,183,12.3,2,2,2,9,70,4,2,20,24,1,246,63,26,50.6,30.6,40.6
5520fd9f-d5d2-4dbb-9713-8947dbc9f569,61,8.0,0,3,2,5,33,0,2,13,24,0,104,43,6,23.4,10.4,16.9
91b107b8-c59f-4621-a585-ec48d54bbec1,156,12.737,1,1,1,11,44,13,4,19,26,2,242,86,23,55.2,36.2,45.7
3751d242-c51f-46f0-8b80-8acd0ea64554,149,11.478,2,2,1,14,36,0,5,23,34,0,264,115,36,49.400000000000006,26.400000000000002,37.900000000000006
b6ea4083-5d31-4061-a984-31cd69f8572b,46,12.5,5,1,1,4,48,0,4,12,20,0,150,104,41,27.0,15.0,21.0
f059907e-faa8-455b-8eee-50f5fc8c3e56,130,12.526,0,1,1,7,61,61,1,19,26,4,238,108,13,66.8,47.8,57.3
ccd5ad1a-f15c-4bad-9a4e-18a3d5d23fe3,149,11.909,0,1,1,12,29,0,4,22,37,0,262,113,23,48.2,26.200000000000003,37.2
b820ed44-098a-4c44-a28b-71203299a4a9,73,10.474,0,4,4,10,29,0,4,19,39,0,199,126,23,38.900000000000006,19.900000000000002,29.400000000000002
f87e5f4f-d97c-4e86-9bc4-5a1539c41d04,96,12.154,1,0,0,6,49,43,1,13,17,2,158,62,10,40.8,27.8,34.3
44de8740-e448-4016-adf6-02501056d48b,143,10.278,1,1,1,9,25,0,1,18,27,0,185,42,20,36.5,18.5,27.5
92503fb3-b59c-4c54-a639-fa88067a3e17,107,14.0,4,2,2,12,39,3,4,16,33,1,224,117,42,44.400000000000006,28.400000000000002,36.400000000000006
a83301f9-7a05-4159-9a05-35a2cba4bc15,201,14.217,0,1,1,16,45,3,4,23,36,1,327,126,6,61.7,38.7,50.2
c85d6cbc-539a-4824-b63a-e7e738cc42f2,152,11.706,1,1,1,8,37,0,0,17,26,0,199,47,20,36.900000000000006,19.900000000000002,28.400000000000002
19a88df4-b884-496a-b581-078de5c163c7,77,8.632,1,1,0,10,17,12,1,19,25,1,164,87,20,41.400000000000006,22.400000000000002,31.900000000000002
8d40574a-5a6c-4520-a343-9e201e70d2a7,74,10.222,3,1,1,7,32,0,4,18,25,0,184,110,40,36.400000000000006,18.400000000000002,27.400000000000002
091ce60b-06f3-4202-9286-9664a47d08be,45,9.882,2,2,2,10,28,28,1,17,26,2,168,123,48,45.8,28.8,37.3
23917ea9-a8f3-4742-aaa6-4c92cb4d27e6,77,6.684,1,2,2,6,22,17,1,19,27,1,127,50,12,37.7,18.700000000000003,28.200000000000003
d764263c-4cec-44ad-b1fe-e6ec23f15a0c,110,10.105,2,1,1,7,40,40,4,19,27,1,192,82,26,44.2,25.200000000000003,34.7
3c30300b-d8df-495e-92ca-acf9fde6d1dc,125,10.0,0,0,0,14,29,11,4,26,34,2,260,135,0,64.0,38.0,51.0
