game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
85bf59a4-8df7-45c9-9de5-bced0dab7aa2,1,15,14,32,0,1,0,0,0,8,3,0,2.0,0,24,7,4.0,19.0,22.200000000000003,15.200000000000001,8.200000000000001
a7704921-505f-4680-a7e7-d0d1862dd970,2,10,15,29,1,0,1,3,1,6,8,0,2.0,0,30,3,5.0,21.0,43.2,35.7,28.200000000000003
5520fd9f-d5d2-4dbb-9713-8947dbc9f569,0,13,14,27,1,0,0,2,0,3,4,0,5.0,0,28,4,9.0,38.0,23.4,16.9,10.4
aec1377b-1013-4c2d-9acc-46e13340ed17,0,5,19,22,0,0,1,0,0,3,10,0,3.0,0,37,6,9.0,40.0,45.6,38.1,30.6
91839912-1452-49af-9e29-c4a9c96e8a18,0,8,12,24,0,0,0,0,1,3,8,0,3.0,0,35,5,5.0,34.0,30.5,24.5,18.5
c64a803d-9681-425e-bd4b-8c9423f8e6a9,1,15,15,22,3,0,3,3,1,1,8,0,4.0,0,48,5,5.0,18.0,57.5,50.0,42.5
cbf85125-cfe6-4a87-a0b3-997bad59c048,0,11,23,36,1,0,0,4,2,3,9,0,1.0,0,33,4,4.0,8.0,60.400000000000006,48.900000000000006,37.400000000000006
9550e518-b2be-4ef0-853f-48ed518d600d,3,5,11,20,1,1,1,1,2,3,0,0,7.0,0,36,6,10.0,47.0,16.8,11.3,5.800000000000001
b369059f-7afa-432e-a036-81c568eebe1c,3,16,14,24,0,0,0,2,2,1,2,0,3.0,0,28,1,4.0,23.0,41.3,34.8,28.3
5a8b6e08-5379-4c81-9a0a-0c31c1b7dd02,3,13,15,25,0,0,0,7,0,1,8,0,3.0,0,35,4,9.0,44.0,25.6,18.1,10.600000000000001
29f5d3d8-b174-4a65-8f3f-008ea4afa75d,1,17,13,21,1,1,1,6,0,3,4,0,1.0,0,40,4,6.0,20.0,32.4,25.9,19.4
3bb41c33-5d92-46c5-8954-dea91ef6dc0e,0,10,22,34,0,0,0,3,0,2,4,0,0.0,0,33,3,1.0,2.0,67.9,56.900000000000006,45.900000000000006
a8db3d9a-c5fc-44fe-a672-b15ad4fb52c9,1,18,29,49,1,1,1,2,3,8,12,0,4.0,0,45,4,8.0,34.0,71.7,57.7,43.7
f7d26865-09cf-497d-95ab-f8db2025c87a,0,28,20,38,1,2,0,0,2,5,4,0,3.0,0,40,8,11.0,43.0,41.6,32.1,22.6
6d4d690d-a763-40c3-91e9-48d298018c9a,1,23,26,48,1,2,0,0,2,4,8,0,3.0,0,39,2,5.0,35.0,59.1,46.1,33.1
9870e58e-bd39-4d57-a37c-08cfb9dcabbd,2,12,31,43,0,1,0,3,1,2,13,0,2.0,0,47,3,7.0,19.0,64.1,48.1,32.1
e26f8d1d-cc69-4d5e-bee1-142649486e66,0,20,18,25,1,0,0,3,1,2,12,0,3.0,0,46,5,11.0,41.0,56.6,46.1,35.6
8d5c502c-ff64-4091-a752-813937c12292,0,15,18,31,1,0,0,4,0,2,10,0,3.0,0,40,5,6.0,13.0,42.900000000000006,33.400000000000006,23.900000000000002
9f2a676f-415d-4dc9-b138-89068d3918e8,0,11,15,33,1,0,0,1,0,4,0,0,4.0,1,37,2,9.0,26.0,36.0,29.0,22.0
1d08d17e-284a-41b9-b48d-78a4b8824bd8,0,0,0,0,1,0,1,0,0,0,0,0,2.0,0,42,4,4.0,17.0,59.6,47.6,35.6
