game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
85bf59a4-8df7-45c9-9de5-bced0dab7aa2,92,9.625,1,3,3,9,33,3,3,16,29,1,154,62,25,37.4,21.4,29.4
a7704921-505f-4680-a7e7-d0d1862dd970,136,10.682,0,3,3,12,29,3,1,22,40,1,235,99,49,51.5,29.5,40.5
5520fd9f-d5d2-4dbb-9713-8947dbc9f569,183,10.704,1,1,1,12,43,43,1,27,31,2,289,106,34,67.9,40.900000000000006,54.400000000000006
aec1377b-1013-4c2d-9acc-46e13340ed17,76,6.368,0,0,0,6,16,0,2,19,34,0,121,45,19,31.1,12.100000000000001,21.6
91839912-1452-49af-9e29-c4a9c96e8a18,74,10.667,1,0,0,6,58,0,2,18,33,0,192,118,32,37.2,19.200000000000003,28.200000000000003
c64a803d-9681-425e-bd4b-8c9423f8e6a9,89,11.438,1,4,4,9,30,0,3,16,35,0,183,94,22,34.3,18.3,26.3
cbf85125-cfe6-4a87-a0b3-997bad59c048,88,16.063,0,1,1,10,41,18,6,16,30,1,257,169,98,47.7,31.700000000000003,39.7
9550e518-b2be-4ef0-853f-48ed518d600d,99,11.526,3,3,3,9,59,11,4,19,28,2,219,120,41,52.900000000000006,33.900000000000006,43.400000000000006
b369059f-7afa-432e-a036-81c568eebe1c,101,10.65,3,2,2,10,28,10,7,20,32,1,213,112,41,47.3,27.3,37.3
5a8b6e08-5379-4c81-9a0a-0c31c1b7dd02,67,6.875,0,9,9,10,18,0,3,24,41,0,165,98,13,40.5,16.5,28.5
29f5d3d8-b174-4a65-8f3f-008ea4afa75d,129,9.5,0,3,3,10,26,2,6,20,39,1,190,61,28,45.0,25.0,35.0
3bb41c33-5d92-46c5-8954-dea91ef6dc0e,184,11.043,1,2,2,10,42,24,3,23,41,2,254,70,3,60.400000000000006,37.400000000000006,48.900000000000006
a8db3d9a-c5fc-44fe-a672-b15ad4fb52c9,153,11.962,3,1,1,11,41,41,1,26,43,3,311,158,44,75.1,49.1,62.1
f7d26865-09cf-497d-95ab-f8db2025c87a,211,13.069,4,1,1,13,57,51,6,29,44,2,379,168,72,78.9,49.9,64.4
6d4d690d-a763-40c3-91e9-48d298018c9a,259,13.357,2,3,3,19,75,75,9,28,43,3,374,115,10,83.4,55.4,69.4
9870e58e-bd39-4d57-a37c-08cfb9dcabbd,125,16.263,5,3,2,9,50,50,7,19,29,3,309,184,72,67.9,48.900000000000006,58.400000000000006
e26f8d1d-cc69-4d5e-bee1-142649486e66,92,12.769,2,6,4,8,31,31,0,13,25,2,166,74,31,41.6,28.6,35.1
8d5c502c-ff64-4091-a752-813937c12292,67,7.042,1,4,5,8,29,6,4,24,43,1,169,102,41,46.900000000000006,22.900000000000002,34.900000000000006
9f2a676f-415d-4dc9-b138-89068d3918e8,120,8.455,1,5,5,7,30,0,1,22,33,0,186,66,15,40.6,18.6,29.6
1d08d17e-284a-41b9-b48d-78a4b8824bd8,122,9.333,0,0,0,7,24,24,2,21,35,2,196,74,0,52.6,31.6,42.1
