game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
6651d05f-21f5-4e6c-a595-43358844d80a,1,13,21,31,2,0,2,1,1,0,3,0,6.0,0,41,3,6.0,26.0,45.2,35.7,26.200000000000003
93d3eca5-4d23-4cac-b4df-478dbb5e02e5,1,8,26,35,0,0,0,5,1,1,5,0,3.0,0,46,2,5.0,15.0,70.1,57.1,44.1
c077107a-4497-46e7-97b1-ac323e946134,1,11,25,37,0,1,0,5,1,2,6,0,2.0,0,50,1,5.0,23.0,55.900000000000006,43.400000000000006,30.900000000000002
cad23233-f52d-43ee-9de5-1eba538784d8,0,4,20,21,0,0,0,1,0,0,2,0,1.0,0,35,0,3.0,16.0,54.3,44.3,34.3
f0aa2ade-8128-400e-b26e-315833759b93,0,18,34,46,1,3,0,2,1,1,3,0,3.0,0,60,3,9.0,44.0,85.7,67.7,49.7
0f26b77e-4e60-4231-806f-74fd751e76c5,0,13,14,21,0,0,0,0,0,0,8,0,3.0,0,35,3,5.0,25.0,43.6,36.1,28.6
f9056e07-780d-455a-bc1c-ff03d4f20fdb,0,0,18,24,0,0,1,1,1,0,1,0,2.0,0,38,1,5.0,15.0,51.900000000000006,42.900000000000006,33.900000000000006
9c6a9bf4-91f0-4bff-98c8-aa9efe6e9c0e,0,22,18,26,1,0,0,6,0,1,4,0,4.0,0,39,3,5.0,22.0,39.7,30.700000000000003,21.700000000000003
9550e518-b2be-4ef0-853f-48ed518d600d,0,6,19,28,0,1,0,0,0,3,5,0,1.0,0,44,5,7.0,20.0,52.900000000000006,43.400000000000006,33.900000000000006
ea03abc0-8249-4a32-9634-85f92175cf85,0,8,12,19,0,1,0,2,0,2,4,0,3.0,0,40,4,4.0,25.0,27.4,21.4,15.4
977145c3-a123-4bfd-a4ad-702e77b860ae,0,18,28,39,0,1,0,2,3,1,3,0,4.0,0,50,2,6.0,34.0,73.80000000000001,59.800000000000004,45.800000000000004
aa6d465e-8567-40ce-9e52-6c0d0895de82,0,11,26,32,0,0,0,3,1,3,10,0,0.0,0,45,1,2.0,3.0,71.9,59.400000000000006,46.900000000000006
c62de0b4-a85e-498e-a007-eb0eb7df47aa,2,17,20,30,0,1,1,0,0,5,5,0,0.0,0,34,3,3.0,11.0,42.7,33.7,24.7
7f4a2ce0-6d10-46a1-8cb5-09bae643e9d7,0,0,18,27,0,0,0,0,0,1,1,0,0.0,0,28,2,3.0,9.0,68.2,59.2,50.2
2aaece03-c4c4-4c07-9835-3c523cec2925,0,13,16,26,0,0,0,7,1,1,9,0,1.0,0,40,3,2.0,2.0,38.0,30.5,23.0
5b2a209d-3d6a-42c7-8dd3-7a49a59c05b1,0,14,19,23,0,0,0,2,1,2,3,0,0.0,0,31,2,3.0,11.0,55.400000000000006,45.900000000000006,36.400000000000006
17da17ed-d2af-48ce-98df-fd97e851a677,3,9,16,26,0,0,0,4,0,0,2,0,0.0,0,37,2,3.0,7.0,46.900000000000006,38.900000000000006,30.900000000000002
5c57f5bf-6247-419d-ac40-669596c8e875,1,8,18,26,1,0,1,1,0,1,4,0,2.0,0,41,1,5.0,8.0,53.2,44.2,35.2
03b6f14f-edd8-4aea-9e7b-314be247be63,0,13,21,30,1,2,1,1,0,4,3,0,5.0,0,33,4,12.0,31.0,40.6,31.1,21.6
1c7fab65-2b38-412f-b749-98f1ad646392,0,0,0,0,0,1,0,0,1,0,0,0,2.0,0,34,1,5.0,24.0,47.1,38.6,30.1
