game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
a3ea95c6-4579-4df3-b6ca-fc94985c8772,0,11,20,36,1,2,1,8,2,4,8,0,2.0,0,35,4,4.0,17.0,40.6,30.6,20.6
091f8aa6-6844-4584-82fc-ec3342a76557,1,13,14,25,0,1,0,0,0,2,1,0,1.0,0,27,3,2.0,16.0,47.1,40.1,33.1
8fdd0e6f-d8b0-45de-8c48-967a88b159a6,1,14,25,34,0,0,0,4,1,9,11,0,0.0,0,34,3,4.0,6.0,52.3,41.3,30.3
6b8096f3-86c2-48bd-b98a-a4bec7f481c9,0,15,24,31,1,1,0,5,0,4,6,0,2.0,0,38,1,3.0,8.0,49.7,38.2,26.700000000000003
4674a3cb-a6db-44de-b5ff-43b3514aad57,2,5,20,32,0,0,0,6,0,2,2,0,0.0,0,35,3,4.0,15.0,50.900000000000006,40.900000000000006,30.900000000000002
208d722a-0a3a-4191-b9cc-61aaa7a545af,0,13,14,20,0,0,0,2,0,4,4,0,5.0,0,28,3,4.0,24.0,47.1,40.1,33.1
1b5d9445-c337-4a49-b600-ca98f4538638,1,9,35,53,2,1,1,4,1,3,5,0,3.0,0,37,2,5.0,20.0,60.5,47.0,33.5
f059907e-faa8-455b-8eee-50f5fc8c3e56,0,1,19,29,0,0,1,0,0,9,4,0,2.0,0,39,3,4.0,15.0,66.8,57.3,47.8
4ae2a998-855d-4746-a1ac-a35bca05a9e7,0,11,25,35,2,0,2,5,0,1,4,0,4.0,1,49,2,9.0,26.0,60.6,48.1,35.6
ea03abc0-8249-4a32-9634-85f92175cf85,2,18,19,31,0,0,0,2,1,0,11,0,2.0,0,38,2,2.0,19.0,43.900000000000006,34.400000000000006,24.900000000000002
5d5eb028-65f2-454e-8aca-5ec00fb31785,0,19,23,37,2,0,1,0,1,1,6,0,1.0,0,43,1,5.0,13.0,54.400000000000006,42.400000000000006,30.400000000000002
c1d7d797-4187-45a5-ad40-54eacb7d6754,0,14,19,36,4,1,2,5,1,3,7,0,4.0,0,40,5,8.0,19.0,40.400000000000006,30.900000000000002,21.400000000000002
efd4ae35-4de5-47d4-85fe-cfcdbe3d68c1,1,2,13,29,1,1,0,0,0,0,2,0,1.0,0,39,6,2.0,7.0,40.4,33.4,26.4
2d05d91d-40c9-4e81-9aa2-5a8c3b3d8b6c,0,3,16,23,1,2,0,0,0,2,9,0,3.0,0,41,4,9.0,27.0,34.7,25.7,16.7
42375c35-091a-4e0b-9b8d-fe07ef05cdcd,2,11,20,35,1,2,0,1,1,5,1,0,6.0,0,41,1,8.0,33.0,40.1,30.1,20.1
2cf8bd20-e45b-480b-93da-4d9c1d4423e4,1,21,19,29,1,1,0,4,0,2,11,0,3.0,0,50,3,4.0,14.0,52.8,42.8,32.8
07905409-d2cd-420f-885f-20d0c5de4476,0,13,22,25,2,0,0,3,0,1,4,0,3.0,0,40,2,6.0,18.0,72.4,61.400000000000006,50.400000000000006
ceee4d3b-def4-4ac5-bcda-b352ea519856,0,4,17,23,0,1,0,1,0,1,8,0,2.0,0,49,2,7.0,36.0,32.6,24.1,15.600000000000001
7c3800ba-4355-40b2-86fa-86ddc5da545d,0,20,23,29,0,1,0,3,1,4,10,0,1.0,0,46,1,4.0,12.0,47.3,35.8,24.3
9dd70a44-8ff4-499c-9119-de3c4854537f,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
