game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
fb9cacd2-fa41-4067-a387-1c2086cfc729,1,19,28,43,1,3,1,4,0,5,9,0,5.0,0,44,3,6.0,43.0,52.2,38.2,24.200000000000003
33cfcb29-b952-413c-873c-49e1b04c2af1,1,4,27,40,0,0,0,0,1,4,1,0,1.0,0,34,3,1.0,6.0,61.2,47.7,34.2
097a36e8-c61c-4b76-b415-e6dc2da98d00,1,34,27,42,1,1,0,2,0,1,3,0,5.0,1,54,1,4.0,23.0,55.7,42.2,28.700000000000003
aec1377b-1013-4c2d-9acc-46e13340ed17,2,11,21,38,0,0,0,0,3,5,6,0,4.0,0,40,3,10.0,82.0,31.1,21.6,12.100000000000001
995c3800-4995-4994-87e6-383e80a02b28,0,13,22,36,0,0,0,0,0,0,4,0,3.0,0,36,2,5.0,18.0,46.400000000000006,37.400000000000006,28.400000000000002
b6ea4083-5d31-4061-a984-31cd69f8572b,1,7,12,20,0,0,0,0,1,4,10,0,6.0,0,30,3,7.0,47.0,27.0,21.0,15.0
0c52ea82-0f2f-4024-bde7-b5571e13fb01,0,11,32,49,2,4,0,2,1,2,3,0,5.0,0,48,3,4.0,22.0,61.400000000000006,44.900000000000006,28.400000000000002
9c6a9bf4-91f0-4bff-98c8-aa9efe6e9c0e,1,8,25,36,1,2,0,3,2,5,8,0,2.0,0,51,2,6.0,17.0,57.8,45.3,32.8
68f2e7c1-76cf-4b3e-9ba4-48a735d7d5c9,3,2,13,28,1,1,1,0,1,1,0,0,4.0,0,26,5,5.0,29.0,28.700000000000003,22.200000000000003,15.700000000000001
b369059f-7afa-432e-a036-81c568eebe1c,0,15,20,32,1,1,0,3,1,5,5,0,4.0,0,45,1,4.0,10.0,47.3,37.3,27.3
643adc23-5f34-4b1d-8051-e40344a58a9b,0,7,19,31,0,0,0,1,0,2,2,0,5.0,0,40,4,5.0,33.0,47.900000000000006,38.400000000000006,28.900000000000002
3cbffd50-da79-4ffb-a04b-766176b1ea00,0,15,29,42,3,2,3,8,1,4,3,0,3.0,0,42,2,5.0,18.0,56.7,42.2,27.700000000000003
20cb63bb-cb3a-4682-9ae7-4ca884fd8d15,0,15,23,38,0,0,0,0,0,8,11,0,2.0,0,42,3,8.0,30.0,70.4,58.900000000000006,47.400000000000006
adac5637-60ed-446c-ac7f-df47c122c46f,0,18,27,44,2,1,2,0,0,2,9,0,1.0,0,35,2,3.0,5.0,57.400000000000006,44.900000000000006,32.400000000000006
0fc1e440-e670-4749-9ece-5cdc554fb42a,2,13,26,46,0,2,0,2,5,5,4,0,4.0,0,32,1,5.0,29.0,65.6,52.6,39.6
e6a8076b-558c-47b1-9e53-f005894bf9af,1,2,22,36,0,2,1,3,2,2,6,0,3.0,0,39,0,5.0,20.0,57.7,46.7,35.7
dc3e4ea6-1f65-4d2f-877b-acc35bda747d,0,8,21,23,4,0,2,0,0,0,8,0,3.0,0,45,3,6.0,19.0,39.2,30.200000000000003,21.200000000000003
ebb5f3ac-bb13-4dc4-ab8b-6c65623eac13,0,5,20,29,0,0,0,5,1,3,8,0,2.0,0,31,0,2.0,12.0,55.1,45.1,35.1
35e4b92e-58ec-4042-bca5-16433b0f8135,0,21,30,36,1,1,0,3,1,4,4,0,5.0,0,41,2,9.0,33.0,63.6,48.6,33.6
f1ac3d84-f11e-4774-93ba-319f2a51d7eb,0,0,0,0,1,1,1,0,0,0,0,0,3.0,0,29,1,3.0,19.0,34.2,26.700000000000003,19.200000000000003
