game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
fb9cacd2-fa41-4067-a387-1c2086cfc729,85,9.941,2,1,1,8,29,0,5,17,21,0,169,84,19,33.900000000000006,16.900000000000002,25.400000000000002
33cfcb29-b952-413c-873c-49e1b04c2af1,159,9.875,0,2,2,12,52,17,4,24,33,2,237,78,21,59.7,35.7,47.7
097a36e8-c61c-4b76-b415-e6dc2da98d00,110,9.182,4,2,2,7,24,0,0,22,30,0,202,92,30,42.2,20.200000000000003,31.200000000000003
aec1377b-1013-4c2d-9acc-46e13340ed17,101,12.4,2,0,0,8,43,18,3,15,18,2,186,85,56,45.6,30.6,38.1
995c3800-4995-4994-87e6-383e80a02b28,168,10.727,6,6,3,11,30,0,8,22,38,0,236,68,27,45.6,23.6,34.6
b6ea4083-5d31-4061-a984-31cd69f8572b,100,10.619,3,1,1,9,38,10,3,21,29,1,223,123,57,49.3,28.3,38.8
0c52ea82-0f2f-4024-bde7-b5571e13fb01,162,17.0,1,1,1,15,80,12,6,21,28,3,357,195,30,74.7,53.7,64.2
9c6a9bf4-91f0-4bff-98c8-aa9efe6e9c0e,72,8.722,1,0,0,8,29,5,2,18,26,1,157,85,10,39.7,21.700000000000003,30.700000000000003
68f2e7c1-76cf-4b3e-9ba4-48a735d7d5c9,131,8.654,0,1,1,11,17,6,8,26,32,1,225,94,29,54.5,28.5,41.5
b369059f-7afa-432e-a036-81c568eebe1c,107,17.154,0,2,2,9,40,40,2,13,23,1,223,116,7,41.3,28.3,34.8
643adc23-5f34-4b1d-8051-e40344a58a9b,114,16.5,0,0,0,9,51,37,3,16,23,2,264,150,26,54.400000000000006,38.400000000000006,46.400000000000006
3cbffd50-da79-4ffb-a04b-766176b1ea00,57,9.833,2,2,1,9,21,3,1,18,30,1,177,120,35,41.7,23.7,32.7
20cb63bb-cb3a-4682-9ae7-4ca884fd8d15,209,13.167,2,3,3,17,54,54,3,24,40,3,316,107,24,73.6,49.6,61.6
adac5637-60ed-446c-ac7f-df47c122c46f,99,12.214,1,1,1,9,26,16,5,14,23,1,171,72,11,37.1,23.1,30.1
0fc1e440-e670-4749-9ece-5cdc554fb42a,104,10.957,1,2,2,14,39,9,8,23,34,2,252,148,23,60.2,37.2,48.7
e6a8076b-558c-47b1-9e53-f005894bf9af,183,17.895,2,1,2,15,75,75,3,19,22,6,340,157,72,89.0,70.0,79.5
dc3e4ea6-1f65-4d2f-877b-acc35bda747d,93,9.733,2,4,4,9,27,27,0,15,26,1,146,53,34,35.6,20.6,28.1
ebb5f3ac-bb13-4dc4-ab8b-6c65623eac13,107,10.5,1,0,0,11,49,49,7,26,40,1,273,166,27,59.3,33.3,46.3
35e4b92e-58ec-4042-bca5-16433b0f8135,148,11.762,2,0,0,14,21,8,1,21,31,1,247,99,62,51.7,30.700000000000003,41.2
f1ac3d84-f11e-4774-93ba-319f2a51d7eb,14,16.1,0,0,0,6,56,13,2,10,12,1,161,147,0,32.1,22.1,27.1
