game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
84b20c0a-0be4-4efd-9359-5e31f912ad8a,0,9,29,44,0,2,0,14,2,5,3,0,5.0,0,38,5,8.0,44.0,60.2,44.7,29.200000000000003
10b3c063-e45a-4118-8de0-978511b11f72,2,16,34,52,0,1,0,7,2,2,8,0,1.0,0,46,1,2.0,11.0,70.7,53.7,36.7
b475e5e4-580e-4d9d-8e4f-caf486a0d26a,0,20,23,32,0,0,0,1,1,4,2,0,2.0,0,30,5,4.0,26.0,35.7,24.700000000000003,13.700000000000001
cad23233-f52d-43ee-9de5-1eba538784d8,0,4,28,41,0,1,0,1,0,6,0,0,1.0,0,46,1,3.0,14.0,66.5,52.5,38.5
f3771533-4836-4812-a9dc-cfd723b3ce48,0,8,16,26,1,1,1,0,3,4,1,0,4.0,0,30,4,6.0,18.0,38.1,30.1,22.1
91839912-1452-49af-9e29-c4a9c96e8a18,1,10,18,33,1,0,0,5,2,6,9,0,2.0,0,43,2,6.0,26.0,37.2,28.200000000000003,19.200000000000003
88081ea3-9c5f-4953-8f8a-dd2b8e96709a,1,21,35,43,0,0,0,5,1,6,7,0,0.0,0,50,0,5.0,11.0,84.80000000000001,67.30000000000001,49.800000000000004
966ab6e4-153a-4c1f-8cac-98163cd98caf,0,4,28,32,2,0,1,0,0,3,7,0,3.0,0,42,2,6.0,25.0,74.3,60.3,46.3
ea2ecf20-1fdf-4fa6-93fa-ebd69740b15a,2,4,18,32,2,1,2,0,2,4,3,0,5.0,0,36,4,4.0,23.0,37.0,28.0,19.0
9e858d5f-c8c6-4fed-b15c-4ffbe49b4002,1,10,28,44,1,2,1,0,1,3,3,0,4.0,0,39,1,3.0,19.0,59.6,45.1,30.6
0b230e93-217b-4938-a9cf-324d95b4c8f7,0,11,18,27,0,1,0,2,1,3,4,0,6.0,0,33,3,5.0,29.0,36.0,27.0,18.0
0faaca68-aae3-4632-b12b-35a9c8b7941e,2,6,27,46,0,1,0,1,0,6,0,0,3.0,0,37,2,4.0,29.0,65.4,51.400000000000006,37.400000000000006
261e687a-fcd0-4ccc-8691-bb4b7b321106,2,7,22,31,0,1,0,2,2,0,13,0,4.0,0,36,2,5.0,20.0,60.900000000000006,49.900000000000006,38.900000000000006
7f4a2ce0-6d10-46a1-8cb5-09bae643e9d7,0,0,26,39,3,1,0,0,2,3,2,0,3.0,0,50,2,3.0,19.0,53.1,40.1,27.1
0fc1e440-e670-4749-9ece-5cdc554fb42a,2,21,23,35,0,0,0,0,0,1,2,0,2.0,1,34,2,6.0,15.0,60.2,48.7,37.2
6a9c26d1-97bb-4087-9b96-8206fcd0d68f,0,6,17,28,0,1,0,0,2,5,2,0,1.0,0,23,3,4.0,9.0,39.900000000000006,31.400000000000002,22.900000000000002
7885d41f-ea3d-4b7d-898d-11279e6f99ec,0,9,17,24,0,1,0,0,1,1,3,0,2.0,0,46,0,6.0,25.0,45.3,36.8,28.3
c2439713-3b07-42c2-af80-82e6697e2730,0,4,19,29,1,1,1,2,1,3,6,0,1.0,0,29,3,1.0,5.0,51.3,41.8,32.3
7f596fcd-969e-489e-9f55-31cc4aa2c543,0,4,17,24,2,0,1,5,1,2,0,0,4.0,0,33,1,5.0,15.0,55.8,47.3,38.8
9b10296a-5675-48b9-af09-51c97a447516,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,27,1,4.0,20.0,38.1,30.6,23.1
