game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
84b20c0a-0be4-4efd-9359-5e31f912ad8a,166,11.579,0,4,2,13,23,19,3,19,28,2,220,54,23,53.0,34.0,43.5
10b3c063-e45a-4118-8de0-978511b11f72,113,12.118,1,0,1,11,31,11,2,17,24,0,206,93,12,37.6,20.6,29.1
b475e5e4-580e-4d9d-8e4f-caf486a0d26a,108,12.4,7,2,1,13,40,27,4,25,34,2,310,202,82,68.0,43.0,55.5
cad23233-f52d-43ee-9de5-1eba538784d8,179,14.15,0,0,0,17,42,6,5,20,21,1,283,104,5,54.3,34.3,44.3
f3771533-4836-4812-a9dc-cfd723b3ce48,141,14.056,2,1,0,12,42,38,6,18,25,4,253,112,13,67.3,49.3,58.3
91839912-1452-49af-9e29-c4a9c96e8a18,54,10.417,0,1,0,5,33,13,2,12,24,1,125,71,5,30.5,18.5,24.5
88081ea3-9c5f-4953-8f8a-dd2b8e96709a,145,12.952,1,0,0,12,35,35,1,21,29,1,272,127,59,54.2,33.2,43.7
966ab6e4-153a-4c1f-8cac-98163cd98caf,194,16.591,0,2,2,15,41,4,5,22,30,1,365,171,10,64.5,42.5,53.5
ea2ecf20-1fdf-4fa6-93fa-ebd69740b15a,170,15.1,0,0,0,11,66,66,5,20,27,3,302,132,4,68.2,48.2,58.2
9e858d5f-c8c6-4fed-b15c-4ffbe49b4002,153,15.857,0,0,0,14,76,76,5,21,25,3,333,180,43,72.30000000000001,51.300000000000004,61.800000000000004
0b230e93-217b-4938-a9cf-324d95b4c8f7,109,9.952,1,0,0,10,28,28,4,21,30,1,209,100,17,47.900000000000006,26.900000000000002,37.400000000000006
0faaca68-aae3-4632-b12b-35a9c8b7941e,102,16.526,2,0,0,12,48,48,3,19,25,4,314,212,54,74.4,55.400000000000006,64.9
261e687a-fcd0-4ccc-8691-bb4b7b321106,193,19.368,7,1,1,12,54,54,2,19,27,2,368,175,76,67.80000000000001,48.800000000000004,58.300000000000004
7f4a2ce0-6d10-46a1-8cb5-09bae643e9d7,151,14.556,0,0,0,12,41,41,3,18,26,4,262,111,38,68.2,50.2,59.2
0fc1e440-e670-4749-9ece-5cdc554fb42a,167,12.923,2,2,2,14,58,12,6,26,44,1,336,169,95,65.6,39.6,52.6
6a9c26d1-97bb-4087-9b96-8206fcd0d68f,142,10.455,2,1,0,14,38,17,11,22,27,2,230,88,18,57.0,35.0,46.0
7885d41f-ea3d-4b7d-898d-11279e6f99ec,101,11.813,0,1,0,10,48,5,3,16,25,1,189,88,22,40.900000000000006,24.900000000000002,32.900000000000006
c2439713-3b07-42c2-af80-82e6697e2730,166,12.158,1,1,1,12,34,0,4,19,29,0,231,65,36,42.1,23.1,32.6
7f596fcd-969e-489e-9f55-31cc4aa2c543,231,11.393,1,0,0,17,28,7,6,28,36,1,319,88,19,65.9,37.900000000000006,51.900000000000006
9b10296a-5675-48b9-af09-51c97a447516,178,13.059,0,0,0,10,34,31,3,17,23,3,222,44,0,57.2,40.2,48.7
