game_id,batted_passes,blitzes,def_comps,def_targets,forced_fumbles,fourth_down_stops,fumble_recoveries,hurries,interceptions,knockdowns,missed_tackles,passes_defenced,sacks,safeties,tackles,three_and_outs_forced,tloss,tloss_yards,ppr_allowed,half_ppr_allowed,standard_allowed
2cc52209-4aae-43e5-9c25-65407907a01b,2,1,22,38,2,4,2,5,1,2,2,0,4.0,0,44,5,6.0,18.0,52.3,40.3,28.3
f9966c0e-a62f-49f4-8ed8-11eb088e8f2d,0,8,30,43,2,0,1,13,1,2,16,0,1.0,0,37,2,3.0,20.0,71.5,57.0,42.5
3633529a-1741-4905-81ed-08482c76ba23,0,20,21,30,0,0,0,2,0,4,10,0,0.0,0,36,3,5.0,11.0,60.0,50.0,40.0
6b8096f3-86c2-48bd-b98a-a4bec7f481c9,1,77,21,32,1,1,2,2,2,3,9,0,4.0,0,40,2,6.0,35.0,44.1,34.6,25.1
f2bb9067-f889-4366-9f4d-b882dbcb5180,0,16,27,36,1,0,1,5,1,6,1,0,0.0,0,31,2,3.0,9.0,74.9,61.4,47.9
e6c053eb-19b2-4a91-b810-a823df216bda,0,4,33,55,1,3,1,0,3,5,7,0,3.0,0,42,3,3.0,9.0,71.9,55.4,38.9
05d7709e-c558-4549-b5cb-b7aae2987e7e,0,20,40,67,1,2,0,8,1,3,7,0,1.0,0,47,3,2.0,3.0,69.1,52.6,36.1
585f12fd-212f-44ce-9dbf-ff54a770a6a7,0,6,25,41,1,2,0,2,2,6,1,0,3.0,0,37,5,4.0,21.0,52.1,39.6,27.1
ea2ecf20-1fdf-4fa6-93fa-ebd69740b15a,2,7,20,28,0,1,0,1,0,5,7,0,2.0,0,32,3,3.0,11.0,68.2,58.2,48.2
f87e5f4f-d97c-4e86-9bc4-5a1539c41d04,0,16,13,17,0,0,1,2,0,1,2,0,2.0,0,18,3,0.0,0.0,40.8,34.3,27.8
09351e38-7ca1-4bd2-8c13-8d6af8fcd9c1,1,18,26,36,0,1,0,2,0,2,6,0,4.0,0,37,1,5.0,37.0,68.4,55.400000000000006,42.400000000000006
0b65ee33-24f0-4dce-942d-ab994f600328,1,26,33,37,0,1,0,7,1,3,13,0,2.0,0,52,0,7.0,24.0,73.7,57.2,40.7
a8db3d9a-c5fc-44fe-a672-b15ad4fb52c9,1,16,25,42,2,0,2,5,1,2,9,0,1.0,0,41,4,4.0,6.0,75.1,62.1,49.1
adac5637-60ed-446c-ac7f-df47c122c46f,1,19,17,26,0,0,0,1,1,6,14,0,3.0,0,48,1,3.0,26.0,37.1,30.1,23.1
bf34bf3a-0af6-498f-b11e-10e789b18826,3,20,27,36,0,1,0,2,0,2,8,0,2.0,0,47,2,6.0,31.0,66.3,53.3,40.3
374e0853-0c0e-4fbe-be9d-46e2b02763cf,1,17,18,31,0,3,0,0,1,1,4,0,6.0,0,35,6,8.0,53.0,30.200000000000003,20.700000000000003,11.200000000000001
091ce60b-06f3-4202-9286-9664a47d08be,0,21,17,26,0,1,0,2,1,5,11,0,2.0,0,31,1,5.0,27.0,45.8,37.3,28.8
c398b7c3-8d76-4437-b05e-cd6bb4d0febf,1,12,23,36,0,2,0,2,0,1,6,0,3.0,0,39,1,9.0,32.0,62.800000000000004,51.300000000000004,39.800000000000004
9f2a676f-415d-4dc9-b138-89068d3918e8,1,13,22,36,1,0,0,4,0,6,2,0,2.0,0,44,3,6.0,23.0,40.6,29.6,18.6
