game_id,air_yards,avg_yards,broken_tackles,catchable_passes,dropped_passes,first_downs,longest,longest_touchdown,redzone_targets,receptions,targets,touchdowns,yards,yards_after_catch,yards_after_contact,ppr_points,standard_points,half_ppr_points
2cc52209-4aae-43e5-9c25-65407907a01b,148,10.042,1,1,1,10,29,18,4,24,32,2,241,93,25,60.1,36.1,48.1
f9966c0e-a62f-49f4-8ed8-11eb088e8f2d,106,9.348,2,4,3,14,45,0,6,23,41,0,215,109,31,44.5,21.5,33.0
3633529a-1741-4905-81ed-08482c76ba23,146,9.931,2,4,4,13,28,26,0,29,40,1,288,142,24,63.8,34.8,49.3
6b8096f3-86c2-48bd-b98a-a4bec7f481c9,122,9.0,1,2,2,11,30,30,1,23,30,1,207,85,15,49.7,26.700000000000003,38.2
f2bb9067-f889-4366-9f4d-b882dbcb5180,206,12.6,2,4,2,16,32,6,3,25,37,1,315,109,15,62.5,37.5,50.0
e6c053eb-19b2-4a91-b810-a823df216bda,85,9.05,0,0,0,6,29,29,3,20,28,2,181,96,22,50.1,30.1,40.1
05d7709e-c558-4549-b5cb-b7aae2987e7e,64,10.333,1,0,0,9,44,44,1,21,30,1,217,153,27,48.7,27.700000000000003,38.2
585f12fd-212f-44ce-9dbf-ff54a770a6a7,158,12.167,0,2,2,11,56,56,2,24,32,1,292,134,44,59.2,35.2,47.2
ea2ecf20-1fdf-4fa6-93fa-ebd69740b15a,83,10.556,1,1,1,7,39,0,3,18,31,0,190,107,24,37.0,19.0,28.0
f87e5f4f-d97c-4e86-9bc4-5a1539c41d04,179,10.917,0,0,0,13,34,20,5,24,31,2,262,83,3,62.2,38.2,50.2
09351e38-7ca1-4bd2-8c13-8d6af8fcd9c1,154,15.826,1,3,3,13,57,1,3,23,37,1,364,210,45,65.4,42.4,53.9
0b65ee33-24f0-4dce-942d-ab994f600328,202,10.355,1,1,1,13,26,22,5,31,39,2,321,119,23,75.1,44.1,59.6
a8db3d9a-c5fc-44fe-a672-b15ad4fb52c9,137,9.179,0,0,0,16,23,19,7,28,49,3,257,120,36,71.7,43.7,57.7
adac5637-60ed-446c-ac7f-df47c122c46f,169,10.56,4,4,4,9,65,65,5,25,42,1,264,95,20,57.400000000000006,32.400000000000006,44.900000000000006
bf34bf3a-0af6-498f-b11e-10e789b18826,196,10.893,3,2,2,17,25,18,5,28,44,2,305,109,47,70.5,42.5,56.5
374e0853-0c0e-4fbe-be9d-46e2b02763cf,106,10.471,4,0,0,9,48,0,5,17,23,0,178,72,53,34.8,17.8,26.3
091ce60b-06f3-4202-9286-9664a47d08be,171,9.655,0,1,1,12,59,59,5,29,41,2,280,109,26,69.0,40.0,54.5
c398b7c3-8d76-4437-b05e-cd6bb4d0febf,122,13.5,1,0,0,8,30,14,2,12,19,1,162,40,10,34.2,22.2,28.2
9f2a676f-415d-4dc9-b138-89068d3918e8,145,15.714,0,4,4,9,66,0,4,14,27,0,220,75,30,36.0,22.0,29.0
